eps1         u           sigma3       sigma3'     sigma1       sigma1'     p           q
[%]         [kPa]        [kPa]        [kPa]       [kPa]        [kPa]       [kPa]       [kPa] 

0.0000      500.6494     550.7978     50.1483     552.4782     51.8287     50.7085      1.6804
0.0000      502.2666     550.7640     48.4974     554.4310     52.1644     49.7197      3.6670
0.0008      504.8111     550.7640     45.9528     557.1833     52.3722     48.0926      6.4193
0.0251      506.5075     550.7640     44.2565     558.8117     52.3042     46.9391      8.0477
0.0503      507.7402     550.7302     42.9900     559.8658     52.1257     46.0352      9.1356
0.0778      508.8145     550.7302     41.9157     560.7815     51.9670     45.2661     10.0513
0.1058      509.7984     550.7302     40.9318     561.6001     51.8016     44.5551     10.8699
0.1351      510.5900     550.7640     40.1739     562.3108     51.7207     44.0229     11.5468
0.1634      511.3138     550.7302     39.4164     562.8918     51.5780     43.4702     12.1616
0.1896      512.0941     550.7640     38.6698     563.4645     51.3703     42.9033     12.7005
0.2161      512.7388     550.7302     37.9914     563.9259     51.1871     42.3900     13.1957
0.2409      513.2363     550.7640     37.5276     564.3573     51.1210     42.0587     13.5933
0.2664      513.8357     550.7302     36.8945     564.7317     50.8960     41.5616     14.0015
0.2919      514.2089     550.7640     36.5551     565.1084     50.8995     41.3365     14.3445
0.3169      514.6726     550.7640     36.0914     565.4513     50.7787     40.9872     14.6874
0.3444      515.1928     550.7302     35.5374     565.7490     50.5562     40.5437     15.0189
0.3722      515.6339     550.7302     35.0963     566.0479     50.4140     40.2022     15.3177
0.4011      515.9844     550.7302     34.7458     566.3680     50.3835     39.9583     15.6378
0.4282      516.4029     550.7302     34.3273     566.6557     50.2528     39.6358     15.9255
0.4562      516.7421     550.7302     33.9881     566.9324     50.1902     39.3888     16.2022
0.4835      517.1266     550.7302     33.6035     567.1981     50.0715     39.0929     16.4679
0.5114      517.4433     550.6964     33.2531     567.4083     49.9650     38.8237     16.7119
0.5376      517.7260     550.6964     32.9704     567.6091     49.8831     38.6080     16.9127
0.5615      518.0540     550.6964     32.6424     567.8427     49.7887     38.3578     17.1463
0.5887      518.3593     550.7302     32.3709     568.1093     49.7500     38.1639     17.3792
0.6156      518.7438     550.7302     31.9864     568.3421     49.5983     37.8570     17.6119
0.6437      519.0039     550.6964     31.6925     568.5300     49.5260     37.6370     17.8336
0.6703      519.2414     550.6964     31.4550     568.7194     49.4780     37.4626     18.0230
0.6974      519.4789     550.7302     31.2513     568.9640     49.4851     37.3292     18.2338
0.7267      519.8182     550.6964     30.8782     569.1297     49.3115     37.0226     18.4333
0.7543      519.9991     550.6626     30.6635     569.2848     49.2857     36.8709     18.6222
0.7814      520.2592     550.6964     30.4372     569.5506     49.2914     36.7219     18.8542
0.8100      520.5985     550.6626     30.0641     569.7592     49.1607     36.4296     19.0966
0.8371      520.8021     550.6626     29.8605     570.0556     49.2535     36.3249     19.3930
0.8640      521.0622     550.6626     29.6004     570.3518     49.2896     36.1635     19.6892
0.8918      521.3562     550.6626     29.3064     570.6369     49.2807     35.9645     19.9743
0.9195      521.6955     550.6626     28.9671     570.8896     49.1941     35.7095     20.2270
0.9484      521.8538     550.6626     28.8088     571.1097     49.2558     35.6245     20.4471
0.9766      522.1818     550.6288     28.4470     571.2959     49.1142     35.3361     20.6671
1.0047      522.3175     550.6626     28.3451     571.5281     49.2107     35.3003     20.8655
1.0319      522.5663     550.6626     28.0963     571.7267     49.1604     35.1177     21.0641
1.0588      522.7585     550.6288     27.8703     571.8591     49.1006     34.9470     21.2303
1.0869      522.9169     550.6288     27.7120     572.0357     49.1188     34.8476     21.4069
1.1141      523.0865     550.6626     27.5761     572.2247     49.1382     34.7635     21.5621
1.1406      523.2787     550.6626     27.3839     572.3907     49.1120     34.6266     21.7281
1.1669      523.4484     550.6288     27.1804     572.5659     49.1175     34.4928     21.9371
1.1969      523.6293     550.6288     26.9995     572.6987     49.0694     34.3561     22.0699
1.2250      523.7763     550.6288     26.8525     572.8426     49.0663     34.2571     22.2138
1.2531      523.9460     550.6288     26.6828     572.9865     49.0405     34.1354     22.3577
1.2815      524.1043     550.6288     26.5245     573.1302     49.0259     34.0250     22.5014
1.3084      524.2061     550.6288     26.4227     573.2420     49.0359     33.9605     22.6131
1.3346      524.2965     550.6288     26.3323     573.3646     49.0680     33.9108     22.7358
1.3619      524.4775     550.6288     26.1513     573.4975     49.0201     33.7742     22.8687
1.3882      524.6697     550.6626     25.9929     573.6752     49.0054     33.6637     23.0126
1.4160      524.7263     550.6626     25.9363     573.8079     49.0816     33.6514     23.1453
1.4451      524.8394     550.6626     25.8232     573.9402     49.1009     33.5824     23.2776
1.4728      525.0429     550.6626     25.6197     574.0514     49.0085     33.4159     23.3888
1.5010      525.0882     550.6288     25.5406     574.1286     49.0404     33.3739     23.4998
1.5301      525.2352     550.5950     25.3598     574.2162     48.9810     33.2336     23.6212
1.5587      525.3596     550.5950     25.2354     574.3270     48.9674     33.1461     23.7320
1.5842      525.4274     550.6288     25.2014     574.4722     49.0448     33.1492     23.8434
1.6113      525.5405     550.6288     25.0883     574.5405     48.9999     33.0588     23.9116
1.6375      525.6310     550.6288     24.9978     574.6409     49.0099     33.0018     24.0121
1.6638      525.7215     550.5950     24.8735     574.6968     48.9754     32.9075     24.1018
1.6916      525.8459     550.6288     24.7829     574.8520     49.0061     32.8573     24.2232
1.7189      525.9590     550.6288     24.6698     574.9733     49.0144     32.7847     24.3445
1.7452      526.0608     550.5950     24.5343     575.0397     48.9790     32.6825     24.4447
1.7728      526.1852     550.5950     24.4099     575.1503     48.9651     32.5949     24.5552
1.8017      526.3096     550.5950     24.2855     575.2284     48.9188     32.4966     24.6333
1.8294      526.3435     550.5612     24.2178     575.2836     48.9401     32.4585     24.7223
1.8566      526.4113     550.5950     24.1837     575.4491     49.0378     32.4684     24.8541
1.8837      526.5018     550.5612     24.0594     575.4724     48.9706     32.3631     24.9112
1.9091      526.6488     550.5612     23.9124     575.5831     48.9343     32.2530     25.0219
1.9374      526.6601     550.5950     23.9349     575.6630     49.0028     32.2909     25.0679
1.9659      526.7845     550.5612     23.7767     575.7710     48.9864     32.1799     25.2097
1.9931      526.8750     550.5612     23.6862     575.8598     48.9848     32.1191     25.2986
2.0212      526.9655     550.6288     23.6633     576.0265     49.0611     32.1292     25.3977
2.0493      527.0333     550.5950     23.5617     576.0599     49.0266     32.0500     25.4649
2.0773      527.1125     550.5274     23.4149     576.0914     48.9789     31.9363     25.5640
2.1042      527.1464     550.5274     23.3810     576.1695     49.0231     31.9284     25.6420
2.1298      527.2369     550.5274     23.2905     576.2266     48.9897     31.8569     25.6991
2.1569      527.3047     550.5274     23.2227     576.2938     48.9891     31.8115     25.7664
2.1842      527.3274     550.5612     23.2339     576.4479     49.1206     31.8628     25.8867
2.2126      527.4291     550.5274     23.0983     576.4810     49.0518     31.7495     25.9535
2.2397      527.4518     550.5274     23.0757     576.5587     49.1070     31.7528     26.0313
2.2674      527.5083     550.5274     23.0191     576.6681     49.1598     31.7327     26.1407
2.2964      527.6214     550.5274     22.9060     576.7559     49.1345     31.6489     26.2284
2.3245      527.6440     550.4936     22.8496     576.7570     49.1130     31.6041     26.2633
2.3453      527.7684     550.4599     22.6914     576.8237     49.0553     31.4794     26.3638
2.3782      527.7797     550.4936     22.7139     576.9016     49.1219     31.5166     26.4079
2.4041      527.8136     550.4599     22.6462     576.9350     49.1213     31.4712     26.4751
2.4311      527.8250     550.4599     22.6349     576.9913     49.1663     31.4787     26.5314
2.4568      527.9833     550.4936     22.5104     577.1028     49.1195     31.3801     26.6092
2.4839      528.0398     550.4599     22.4200     577.1993     49.1595     31.3332     26.7395
2.5131      528.1190     550.4599     22.3409     577.2337     49.1147     31.2655     26.7738
2.5414      528.0624     550.4936     22.4312     577.3867     49.3243     31.3956     26.8931
2.5678      528.1190     550.4599     22.3409     577.3880     49.2690     31.3169     26.9281
2.5959      528.1642     550.4599     22.2956     577.4754     49.3112     31.3008     27.0156
2.6232      528.1982     550.4599     22.2617     577.5630     49.3649     31.2961     27.1032
2.6502      528.2208     550.4599     22.2391     577.5978     49.3771     31.2851     27.1380
2.6765      528.2999     550.4261     22.1261     577.6413     49.3413     31.1979     27.2152
2.7019      528.3791     550.4261     22.0470     577.6976     49.3185     31.1375     27.2715
2.7292      528.3678     550.4599     22.0921     577.8188     49.4510     31.2117     27.3590
2.7561      528.4017     550.4261     22.0243     577.8725     49.4708     31.1732     27.4464
2.7819      528.4470     550.4261     21.9791     577.9392     49.4922     31.1501     27.5131
2.8098      528.5035     550.4261     21.9226     577.9946     49.4911     31.1121     27.5685
2.8391      528.4922     550.3923     21.9001     578.0369     49.5447     31.1150     27.6446
2.8671      528.6053     550.3923     21.7870     578.0923     49.4870     31.0203     27.7000
2.8934      528.6392     550.4599     21.8206     578.2262     49.5870     31.0761     27.7663
2.9184      528.6166     550.4261     21.8095     578.2590     49.6425     31.0871     27.8330
2.9409      528.6392     550.4599     21.8206     578.3391     49.6999     31.1137     27.8792
2.9615      528.6618     550.4599     21.7980     578.3543     49.6924     31.0962     27.8944
2.9880      528.7184     550.4599     21.7415     578.4520     49.7336     31.0722     27.9922
3.0141      528.7975     550.4599     21.6623     578.5077     49.7101     31.0116     28.0478
3.0429      528.7975     550.4599     21.6623     578.5625     49.7650     31.0299     28.1027
3.0712      528.7862     550.4599     21.6736     578.7017     49.9155     31.0876     28.2419
3.0980      528.8654     550.4261     21.5607     578.7233     49.8579     30.9931     28.2972
3.1245      528.8541     550.3923     21.5382     578.7659     49.9119     30.9961     28.3737
3.1504      528.8654     550.3923     21.5269     578.8004     49.9350     30.9963     28.4081
3.1754      528.8541     550.3585     21.5044     578.8434     49.9894     30.9994     28.4850
3.2007      528.8993     550.3923     21.4930     578.9013     50.0020     30.9960     28.5090
3.2273      528.9219     550.3585     21.4365     578.9753     50.0534     30.9755     28.6169
3.2558      528.9672     550.3923     21.4251     579.0532     50.0861     30.9788     28.6610
3.2841      528.9672     550.3585     21.3913     579.1056     50.1384     30.9737     28.7471
3.3135      528.9559     550.3585     21.4026     579.1494     50.1935     30.9996     28.7909
3.3414      529.0011     550.3247     21.3236     579.1808     50.1797     30.9423     28.8561
3.3681      528.9785     550.3585     21.3800     579.2695     50.2911     31.0170     28.9111
3.3949      529.0124     550.3247     21.3123     579.2802     50.2678     30.9641     28.9555
3.4198      529.0350     550.2909     21.2559     579.3124     50.2774     30.9297     29.0215
3.4472      529.0463     550.3247     21.2784     579.3694     50.3231     30.9599     29.0447
3.4723      529.0576     550.2909     21.2333     579.4015     50.3438     30.9368     29.1106
3.4984      529.0689     550.3247     21.2557     579.5007     50.4318     30.9811     29.1761
3.5260      529.1029     550.3247     21.2218     579.5762     50.4734     30.9723     29.2516
3.5545      529.1142     550.3247     21.2105     579.6409     50.5267     30.9826     29.3162
3.5826      529.1142     550.2909     21.1767     579.6719     50.5577     30.9704     29.3810
3.6100      529.1594     550.3247     21.1653     579.7916     50.6322     30.9876     29.4669
3.6367      529.1820     550.2909     21.1089     579.7601     50.5780     30.9319     29.4692
3.6625      529.1707     550.3247     21.1540     579.8278     50.6571     30.9883     29.5032
3.6890      529.2612     550.2909     21.0297     579.8382     50.5770     30.8788     29.5473
3.7163      529.2838     550.3247     21.0409     579.9264     50.6426     30.9081     29.6017
3.7433      529.2499     550.2571     21.0072     579.9133     50.6634     30.8926     29.6562
3.7706      529.2725     550.3247     21.0522     580.0560     50.7835     30.9626     29.7313
3.7978      529.2838     550.2571     20.9733     580.0846     50.8007     30.9158     29.8275
3.8249      529.2838     550.2571     20.9733     580.1075     50.8237     30.9234     29.8504
3.8534      529.3743     550.2571     20.8828     580.1613     50.7870     30.8509     29.9042
3.8816      529.3404     550.2571     20.9167     580.2047     50.8644     30.8993     29.9476
3.9085      529.3630     550.2909     20.9279     580.2823     50.9193     30.9251     29.9914
3.9333      529.4195     550.2571     20.8376     580.3347     50.9152     30.8634     30.0776
3.9596      529.3404     550.2233     20.8829     580.3657     51.0253     30.9304     30.1424
3.9849      529.3969     550.2233     20.8264     580.3890     50.9921     30.8816     30.1657
4.0115      529.5100     550.2233     20.7133     580.4745     50.9645     30.7970     30.2512
4.0386      529.4082     550.2233     20.8151     580.5285     51.1203     30.9168     30.3052
4.0667      529.4421     550.2233     20.7812     580.5821     51.1400     30.9008     30.3588
4.0965      529.4308     550.2233     20.7925     580.6248     51.1940     30.9263     30.4015
4.1248      529.4421     550.1895     20.7474     580.6758     51.2336     30.9095     30.4863
4.1532      529.4648     550.2233     20.7585     580.7838     51.3191     30.9454     30.5605
4.1807      529.4874     550.1895     20.7021     580.7621     51.2747     30.8930     30.5726
4.2060      529.4421     550.2233     20.7812     580.8502     51.4081     30.9901     30.6269
4.2312      529.4421     550.1895     20.7474     580.8604     51.4183     30.9710     30.6709
4.2593      529.4761     550.1895     20.7134     580.9346     51.4585     30.9618     30.7451
4.2876      529.5439     550.1895     20.6456     580.9879     51.4439     30.9117     30.7983
4.3150      529.4987     550.1895     20.6908     581.0622     51.5635     30.9817     30.8727
4.3441      529.5892     550.1895     20.6004     581.1048     51.5156     30.9054     30.9152
4.3729      529.4761     550.2233     20.7472     581.2124     51.7363     31.0769     30.9890
4.4014      529.4874     550.2233     20.7359     581.2758     51.7884     31.0868     31.0525
4.4273      529.4761     550.1895     20.7134     581.2336     51.7575     31.0615     31.0441
4.4531      529.4987     550.1895     20.6908     581.3290     51.8303     31.0707     31.1395
4.4810      529.4874     550.1895     20.7021     581.3406     51.8533     31.0858     31.1511
4.5077      529.4761     550.1219     20.6459     581.3577     51.8816     31.0578     31.2357
4.5371      529.4987     550.1895     20.6908     581.4779     51.9792     31.1203     31.2884
4.5644      529.5100     550.1219     20.6119     581.4635     51.9535     31.0591     31.3416
4.5914      529.5100     550.1219     20.6119     581.5169     52.0069     31.0769     31.3949
4.6201      529.5100     550.1557     20.6457     581.6137     52.1037     31.1317     31.4580
4.6494      529.5892     550.1219     20.5328     581.6220     52.0329     31.0328     31.5001
4.6778      529.5665     550.1557     20.5892     581.6879     52.1213     31.0999     31.5322
4.7045      529.5326     550.1557     20.6231     581.7411     52.2085     31.1516     31.5854
4.7302      529.5779     550.1557     20.5779     581.7740     52.1962     31.1173     31.6183
4.7564      529.5326     550.1219     20.5893     581.7936     52.2610     31.1465     31.6717
4.7815      529.5439     550.1557     20.6118     581.8604     52.3165     31.1800     31.7047
4.8087      529.5326     550.1895     20.6569     581.9782     52.4456     31.2531     31.7887
4.8378      529.5779     550.1219     20.5441     581.9733     52.3954     31.1612     31.8513
4.8661      529.6457     550.0881     20.4424     581.9920     52.3463     31.0770     31.9038
4.8937      529.6005     550.0881     20.4877     582.0757     52.4753     31.1502     31.9876
4.9242      529.5779     550.0881     20.5103     582.1068     52.5289     31.1832     32.0186
4.9525      529.5552     550.0881     20.5329     582.1282     52.5730     31.2129     32.0400
4.9795      529.5665     550.0543     20.4878     582.1369     52.5704     31.1820     32.0826
