eps1         u           sigma3        sigma3'     sigma1       sigma1'      p            q
[%]         [kPa]        [kPa]         [kPa]       [kPa]        [kPa]        [kPa]        [kPa] 

0.0000      500.9093     600.0720      99.1626     605.0982     104.1889     100.8381       5.0263
0.0208      503.2298     600.0396      96.8097     611.2634     107.8771     100.4989      11.0674
0.0418      504.8402     600.0396      95.1994     615.2828     109.8890     100.0959      14.6896
0.0662      506.3652     600.0234      93.6581     617.4478     110.6616      99.3260      17.0035
0.0911      507.5147     600.0720      92.5572     618.5116     110.7864      98.6336      18.2292
0.1205      508.3501     600.0882      91.7381     620.4937     111.9590      98.4784      20.2210
0.1441      508.9912     600.0720      91.0807     622.0057     112.8720      98.3445      21.7912
0.1712      509.5320     600.1367      90.6048     623.2121     113.6413      98.2836      23.0365
0.1987      509.9756     599.9910      90.0154     624.1455     114.1538      98.0616      24.1384
0.2257      510.3479     599.9748      89.6269     625.3066     114.8777      98.0438      25.2509
0.2555      510.7073     600.0396      89.3322     626.2641     115.5115      98.0587      26.1792
0.2847      511.0376     599.9748      88.9372     627.6682     116.6727      98.1824      27.7355
0.3112      511.3322     599.9748      88.6425     628.1439     116.7760      98.0204      28.1335
0.3377      511.6075     600.0396      88.4321     628.3838     116.7407      97.8683      28.3086
0.3653      511.8956     599.9748      88.0791     630.7774     118.8752      98.3445      30.7961
0.3933      512.1482     600.0072      87.8590     631.7010     119.5722      98.4300      31.7132
0.4248      512.3813     600.0234      87.6420     632.6270     120.1906      98.4915      32.5485
0.4542      512.6080     600.0396      87.4316     633.4685     120.8378      98.5670      33.4063
0.4831      512.8314     599.9910      87.1596     634.1876     121.3788      98.5660      34.2193
0.5106      513.0257     599.9910      86.9653     634.9884     121.9530      98.6279      34.9877
0.5375      513.2103     599.9748      86.7645     635.8109     122.5650      98.6980      35.8005
0.5619      513.3883     600.0072      86.6188     636.6625     123.2547      98.8308      36.6359
0.5920      513.5535     600.0072      86.4537     637.3205     123.7670      98.8915      37.3133
0.6195      513.7154     600.0234      86.3080     638.1983     124.4991      99.0384      38.1911
0.6498      513.8773     600.0072      86.1299     638.9251     125.0640      99.1080      38.9341
0.6753      514.0327     600.0396      86.0069     639.6965     125.6411      99.2183      39.6343
0.7003      514.1946     600.0234      85.8288     640.3802     126.1630      99.2735      40.3342
0.7274      514.3435     600.0396      85.6960     641.0817     126.7511      99.3811      41.0551
0.7541      514.4633     599.9748      85.5115     641.7737     127.2650      99.4293      41.7536
0.7886      514.5961     600.0396      85.4435     642.5420     127.9362      99.6077      42.4927
0.8183      514.7159     599.9748      85.2589     643.1023     128.4480      99.6553      43.1891
0.8423      514.8357     600.0234      85.1877     643.9563     129.0752      99.8169      43.8876
0.8616      514.9490     599.9910      85.0420     644.5815     129.6519      99.9119      44.6099
0.8868      515.0721     599.9424      84.8703     645.2187     130.1110      99.9506      45.2407
0.9213      515.1854     599.9100      84.7246     645.8304     130.6579     100.0357      45.9333
0.9503      515.2922     599.9748      84.6825     646.5137     131.2441     100.2031      46.5616
0.9781      515.3764     599.9424      84.5660     647.1816     131.7340     100.2886      47.1680
1.0033      515.4736     599.8938      84.4202     647.7478     132.2840     100.3748      47.8637
1.0296      515.5545     599.8614      84.3069     648.2836     132.7549     100.4562      48.4480
1.0540      515.6290     599.9910      84.3620     649.1636     133.5055     100.7432      49.1435
1.0830      515.7099     599.8776      84.1677     649.6783     134.0039     100.7798      49.8363
1.1098      515.7844     599.9748      84.1904     650.4297     134.6097     100.9968      50.4193
1.1346      515.8427     599.9262      84.0835     650.9552     135.0866     101.0845      51.0031
1.1611      515.8945     599.9586      84.0641     651.5728     135.6718     101.2667      51.6077
1.1949      515.9398     599.9262      83.9864     652.1882     136.2386     101.4038      52.2523
1.2208      515.9722     599.9424      83.9702     652.6718     136.7384     101.5596      52.7682
1.2523      516.0014     599.8452      83.8439     653.2376     137.1909     101.6262      53.3471
1.2729      516.0337     599.9586      83.9249     653.9309     137.9004     101.9167      53.9756
1.2990      516.0758     599.8776      83.8018     654.3611     138.3144     101.9727      54.5126
1.3247      516.1050     599.8938      83.7888     654.9719     138.8605     102.1460      55.0716
1.3533      516.3122     599.9100      83.5978     655.4364     139.2926     102.1627      55.6948
1.3840      516.4158     599.9262      83.5104     655.9311     139.7387     102.2531      56.2283
1.4151      516.4676     599.8614      83.3938     657.1996     140.1329     102.3068      56.7391
1.4450      516.5065     599.9424      83.4359     657.3612     140.7964     102.5561      57.3605
1.4721      516.5389     599.9424      83.4035     657.6690     141.2986     102.7019      57.8950
1.4984      516.3770     599.8938      83.5169     658.2407     141.9026     102.9788      58.3857
1.5289      516.3122     599.9100      83.5978     658.8478     142.4935     103.2297      58.8957
1.5554      516.2798     599.9262      83.6464     659.2892     143.0321     103.4416      59.3857
1.5823      516.2604     599.8776      83.6172     659.7333     143.4924     103.5756      59.8752
1.6054      516.2410     599.9100      83.6690     660.3762     144.1676     103.8352      60.4986
1.6302      516.2313     599.8938      83.6626     660.9143     144.6733     103.9995      61.0108
1.6567      516.2248     599.8776      83.6528     661.4536     145.1965     104.1674      61.5436
1.6820      516.2183     599.8452      83.6269     662.0004     145.7918     104.3485      62.1649
1.7110      516.2021     599.8776      83.6755     662.4917     146.2832     104.5447      62.6077
1.7417      516.1600     599.9100      83.7500     662.9314     146.7552     104.7517      63.0052
1.7676      516.1341     599.8614      83.7273     663.4685     147.3085     104.9210      63.5812
1.7903      516.1114     599.8938      83.7824     663.9002     147.8535     105.1394      64.0711
1.8136      516.0920     599.8776      83.7856     664.3373     148.2583     105.2765      64.4727
1.8359      516.0629     599.8452      83.7823     664.9059     148.8106     105.4584      65.0283
1.8677      516.1827     599.8776      83.6949     665.3074     149.2283     105.5394      65.5334
1.8961      516.2215     599.9262      83.7047     665.7814     149.7671     105.7255      66.0624
1.9261      516.2086     599.8938      83.6852     666.8332     150.1875     105.8527      66.5023
1.9566      516.1794     599.9262      83.7468     667.0931     150.8198     106.1044      67.0730
1.9882      516.1406     599.8938      83.7532     667.2512     151.2207     106.2424      67.4675
2.0126      515.9593     599.9424      83.9831     667.8050     151.8717     106.6126      67.8885
2.0363      515.8459     599.9100      84.0641     668.2377     152.4177     106.8486      68.3536
2.0643      515.7715     599.8614      84.0900     668.6882     152.9492     107.0430      68.8592
2.0927      515.7067     599.8776      84.1709     669.1981     153.4914     107.2777      69.3205
2.1188      515.6678     599.9100      84.2422     669.6615     154.0034     107.4959      69.7612
2.1491      515.6258     599.9748      84.3490     670.1792     154.5696     107.7559      70.2206
2.1791      515.5772     599.8614      84.2842     670.6335     155.0078     107.8587      70.7235
2.2094      515.5157     599.8452      84.3296     671.0186     155.4900     108.0497      71.1605
2.2347      515.4509     599.8776      84.4267     671.4695     156.0056     108.2864      71.5789
2.2599      515.3732     599.9586      84.5854     672.0205     156.6699     108.6136      72.0845
2.2870      515.2987     599.8614      84.5627     672.3060     157.0202     108.7152      72.4575
2.3150      515.3991     599.8290      84.4299     672.5185     157.2813     108.7137      72.8514
2.3444      515.4218     599.8938      84.4720     672.8941     157.7379     108.8940      73.2658
2.3749      515.3959     599.8452      84.4494     674.1815     158.2158     109.0382      73.7664
2.4060      515.3473     599.9100      84.5627     674.2491     158.7853     109.3036      74.2226
2.4376      515.2922     599.9100      84.6178     674.4085     159.2523     109.4959      74.6345
2.4647      515.0526     599.8938      84.8412     674.8851     159.8907     109.8577      75.0496
2.4918      514.8972     599.9100      85.0128     675.3364     160.4554     110.1603      75.4426
2.5188      514.7807     599.8452      85.0646     675.6679     160.9002     110.3431      75.8356
2.5509      514.6868     599.9586      85.2718     676.2481     161.5614     110.7017      76.2895
2.5764      514.5929     599.8938      85.3010     676.5140     161.9406     110.8475      76.6396
2.6048      514.5119     599.8938      85.3819     676.9157     162.3909     111.0516      77.0090
2.6311      514.4407     599.9100      85.4693     677.3694     162.9579     111.2988      77.4885
2.6578      514.3759     599.8776      85.5017     677.7669     163.4039     111.4691      77.9022
2.6792      514.2917     599.9586      85.6669     678.3391     164.0085     111.7808      78.3417
2.7089      514.2173     599.8776      85.6604     678.6625     164.4129     111.9112      78.7525
2.7371      514.1460     599.8614      85.7154     678.9619     164.8580     112.0963      79.1426
2.7654      514.0392     599.9262      85.8870     679.4150     165.3758     112.3833      79.4888
2.7909      513.9356     599.9100      85.9745     679.8619     165.8551     112.6013      79.8806
2.8184      513.9064     599.8452      85.9388     679.9839     166.1876     112.6884      80.2488
2.8445      513.9194     599.8776      85.9583     680.3078     166.5762     112.8309      80.6180
2.8744      513.9161     599.8614      85.9453     680.9090     166.9508     112.9471      81.0055
2.9009      513.8611     599.9586      86.0975     681.4668     167.3629     113.1860      81.2654
2.9286      513.7737     599.8128      86.0392     681.6189     167.6283     113.2356      81.5892
2.9547      513.5956     599.8290      86.2335     681.7988     168.2777     113.5815      82.0442
2.9781      513.3721     599.8452      86.4731     682.0955     168.8010     113.9157      82.3280
3.0100      513.1520     599.7966      86.6447     682.4033     169.3356     114.2083      82.6909
3.0412      512.9868     599.8614      86.8746     682.8724     169.8855     114.5449      83.0109
3.0683      512.8411     599.7804      86.9393     683.2499     170.3602     114.7463      83.4208
3.0937      512.7246     599.7804      87.0559     683.4967     170.8012     114.9710      83.7453
3.1185      512.5853     599.8290      87.2437     683.7500     171.1841     115.2238      83.9404
3.1394      512.4558     599.8128      87.3570     684.1322     171.6472     115.4538      84.2902
3.1638      512.3522     599.7966      87.4444     684.3719     172.0812     115.6567      84.6368
3.1945      512.2615     599.8614      87.5999     684.9494     172.7073     115.9690      85.1074
3.2239      512.1612     599.8290      87.6679     685.2078     173.0304     116.1221      85.3626
3.2508      512.0802     599.8128      87.7326     685.5947     173.4821     116.3158      85.7495
3.2811      511.9895     599.8290      87.8395     685.9558     173.9727     116.5506      86.1332
3.3068      511.8859     599.7642      87.8783     686.2203     174.3343     116.6970      86.4560
3.3366      511.7661     599.8128      88.0467     686.6104     174.8216     116.9717      86.7749
3.3650      511.6560     599.7481      88.0920     686.8677     175.2084     117.1308      87.1164
3.3945      511.5362     599.8290      88.2928     687.3063     175.7927     117.4594      87.4999
3.4262      511.5880     599.8452      88.2572     687.4846     176.0520     117.5221      87.7948
3.4578      511.6107     599.8128      88.2021     687.6003     176.3134     117.5725      88.1112
3.4822      511.5751     599.7481      88.1730     688.7195     176.6717     117.6725      88.4987
3.5086      511.5103     599.7481      88.2377     688.8081     177.0355     117.8370      88.7978
3.5379      511.4326     599.8290      88.3964     688.8691     177.5336     118.1088      89.1372
3.5669      511.1703     599.8614      88.6911     689.3843     178.2755     118.5525      89.5844
3.5902      510.9437     599.8128      88.8691     689.7395     178.8411     118.8598      89.9720
3.6134      510.7850     599.8452      89.0602     690.0700     179.3336     119.1513      90.2734
3.6346      510.6393     599.7966      89.1573     690.3300     179.6907     119.3351      90.5334
3.6639      510.5325     599.7157      89.1832     690.6187     180.0765     119.4810      90.8933
3.6910      510.4289     599.7966      89.3678     690.9816     180.6013     119.7790      91.2335
3.7171      510.3317     599.7804      89.4487     691.3658     181.0017     119.9664      91.5530
3.7513      510.2313     599.7804      89.5491     691.6750     181.4566     120.1849      91.9075
3.7799      510.1342     599.8128      89.6786     692.0564     181.9027     120.4200      92.2241
3.8050      510.0209     599.7966      89.7758     692.4460     182.4057     120.6524      92.6300
3.8327      509.9140     599.8128      89.8988     692.6974     182.8028     120.8668      92.9040
3.8601      509.7975     599.8128      90.0154     693.0341     183.2366     121.0891      93.2213
3.8815      509.6906     599.8128      90.1222     693.3934     183.7092     121.3179      93.5870
3.9086      509.5838     599.7642      90.1805     693.6339     184.0631     121.4747      93.8826
3.9379      509.4640     599.8128      90.3489     694.1168     184.6107     121.7695      94.2618
3.9673      509.3733     599.8128      90.4395     694.3547     184.9943     121.9578      94.5548
3.9961      509.2762     599.7804      90.5043     694.7439     185.5455     122.1847      95.0412
4.0233      509.1661     599.7804      90.6144     695.0525     185.8217     122.3501      95.2073
4.0504      509.2146     599.8452      90.6306     695.3248     186.2397     122.5003      95.6091
4.0823      509.2243     599.7642      90.5399     695.3085     186.3529     122.4776      95.8130
4.1107      509.1531     599.7966      90.6435     696.4384     186.8352     122.7074      96.1917
4.1383      509.0527     599.8128      90.7601     696.3639     187.1169     122.8790      96.3568
4.1667      508.9362     599.7966      90.8605     696.3845     187.5099     123.0769      96.6494
4.1928      508.6609     599.7966      91.1357     696.6417     188.0585     123.4433      96.9228
4.2150      508.4278     599.7966      91.3688     697.0270     188.6543     123.7973      97.2854
4.2369      508.2562     599.8128      91.5566     697.4106     189.1836     124.0989      97.6269
4.2693      508.1332     599.7804      91.6473     697.7503     189.6690     124.3212      98.0217
4.2992      508.0166     599.7966      91.7800     698.0657     190.0491     124.5364      98.2691
4.3299      507.9195     599.7966      91.8772     698.4461     190.4781     124.7441      98.6009
4.3559      507.8158     599.7804      91.9646     698.7559     190.9660     124.9651      99.0014
4.3827      507.7025     599.8128      92.1103     699.0604     191.3190     125.1799      99.2087
4.4071      507.5730     599.7481      92.1751     699.2635     191.7002     125.3501      99.5251
4.4340      507.4661     599.8452      92.3791     699.6037     192.1537     125.6373      99.7747
4.4619      507.3399     599.7481      92.4082     699.8156     192.4952     125.7705     100.0870
4.4945      507.2201     599.7642      92.5442     700.1941     192.9384     126.0089     100.3942
4.5208      507.1003     599.7804      92.6802     700.4341     193.3241     126.2282     100.6439
4.5480      506.9837     599.7804      92.7968     700.7602     193.7959     126.4631     100.9992
4.5757      506.8639     599.7804      92.9166     701.1423     194.2914     126.7082     101.3749
4.6031      506.7408     599.7481      93.0072     701.4530     194.7153     126.9099     101.7081
4.6306      506.6340     599.7642      93.1303     701.7640     195.1073     127.1226     101.9771
4.6560      506.7408     599.7481      93.0072     701.7713     195.2766     127.0970     102.2694
4.6889      506.7473     599.7966      93.0493     702.0329     195.6029     127.2338     102.5536
4.7149      506.6858     599.7804      93.0946     703.2821     195.8969     127.3621     102.8023
4.7429      506.6016     599.7157      93.1140     702.9967     196.2267     127.4849     103.1126
4.7698      506.4883     599.7804      93.2922     703.0651     196.7160     127.7668     103.4239
4.7936      506.1483     599.6995      93.5512     703.3209     197.2470     128.1165     103.6959
4.8264      505.9184     599.7642      93.8458     703.6458     197.7824     128.4914     103.9366
4.8539      505.7436     599.7157      93.9721     703.9465     198.2612     128.7351     104.2891
4.8817      505.6108     599.7319      94.1211     704.3190     198.6985     128.9802     104.5774
4.9132      505.4878     599.6347      94.1469     704.5469     199.0721     129.1220     104.9252
4.9368      505.3647     599.6833      94.3185     704.8614     199.4513     129.3628     105.1328
4.9616      505.2805     599.7481      94.4675     705.0758     199.8277     129.5876     105.3601
4.9898      505.1802     599.6671      94.4869     705.2680     200.1979     129.7239     105.7110
5.0192      505.0539     599.7157      94.6618     705.7730     200.5734     129.9657     105.9116
5.0466      504.9406     599.6995      94.7589     705.9736     201.0007     130.1728     106.2418
5.0748      504.9535     599.7966      94.8431     706.1290     201.3503     130.3455     106.5072
