eps1         u           sigma3       sigma3'     sigma1       sigma1'      p            q
[%]         [kPa]        [kPa]        [kPa]       [kPa]        [kPa]        [kPa]        [kPa] 

0.0000      500.6914     600.6054     99.9140     602.2873     101.5959     100.4746      1.6818
0.0206      501.9866     600.7350     98.7484     606.2439     104.2573     100.5847      5.5089
0.0441      503.1360     600.7188     97.5828     611.9985     108.8624     101.3426     11.2797
0.0659      504.3988     600.7188     96.3200     616.0110     111.6121     101.4174     15.2922
0.0884      505.4997     600.7026     95.2029     618.8288     113.3291     101.2449     18.1262
0.1183      506.6168     600.7512     94.1344     621.0637     114.4468     100.9052     20.3125
0.1424      507.5396     600.7836     93.2439     622.8693     115.3297     100.6059     22.0857
0.1681      508.4463     600.7512     92.3049     624.2559     115.8097     100.1398     23.5047
0.1937      509.2719     600.7188     91.4469     625.8167     116.5448      99.8128     25.0979
0.2229      510.0329     600.7188     90.6859     627.0143     116.9815      99.4511     26.2955
0.2503      510.9071     600.7512     89.8441     627.7969     116.8898      98.8593     27.0457
0.2738      511.6842     600.7026     89.0184     629.4281     117.7439      98.5936     28.7255
0.2997      512.3156     600.6864     88.3708     630.2700     117.9544      98.2320     29.5836
0.3296      513.1089     600.7026     87.5937     631.4338     118.3249      97.8375     30.7312
0.3535      513.6594     600.7188     87.0595     632.8207     119.1613      97.7601     32.1019
0.3817      514.3717     600.7026     86.3309     633.7845     119.4128      97.3582     33.0819
0.4083      515.0031     600.7350     85.7319     634.6540     119.6509      97.0382     33.9190
0.4351      515.5212     600.7188     85.1976     635.5025     119.9814      96.7922     34.7837
0.4576      516.2173     600.7674     84.5501     636.1734     119.9561      96.3521     35.4060
0.4806      516.7354     600.7512     84.0158     636.8513     120.1159      96.0492     36.1001
0.5089      517.2697     600.7350     83.4653     637.9682     120.6986      95.8764     37.2332
0.5311      517.7230     600.7512     83.0282     638.8429     121.1199      95.7255     38.0917
0.5571      518.2572     600.8160     82.5587     639.5131     121.2559      95.4578     38.6971
0.5799      518.7915     600.7026     81.9111     640.2211     121.4296      95.0839     39.5185
0.6100      519.2934     600.7674     81.4740     640.8874     121.5940      94.8474     40.1200
0.6378      519.7629     600.7350     80.9721     641.6579     121.8950      94.6131     40.9229
0.6625      520.1514     600.7512     80.5998     641.5274     121.3760      94.1919     40.7762
0.6901      520.5562     600.7674     80.2112     642.8962     122.3401      94.2542     42.1288
0.7128      520.9771     600.7674     79.7903     643.1782     122.2011      93.9272     42.4108
0.7361      521.4466     600.7674     79.3208     643.5145     122.0679      93.5698     42.7471
0.7587      521.8999     600.7674     78.8675     644.7722     122.8723      93.5357     44.0048
0.7855      522.2885     600.7512     78.4627     645.3581     123.0696      93.3317     44.6069
0.8113      522.6608     600.7350     78.0742     645.8689     123.2081      93.1188     45.1339
0.8389      523.0656     600.7512     77.6856     646.0150     122.9495      92.7736     45.2638
0.8646      523.4865     600.7674     77.2809     646.9976     123.5111      92.6910     46.2302
0.8883      523.8265     600.7674     76.9409     647.5529     123.7264      92.5361     46.7855
0.9161      524.1988     600.7512     76.5523     647.7035     123.5046      92.2031     46.9523
0.9407      524.4741     600.8322     76.3581     648.3780     123.9040      92.2067     47.5459
0.9650      524.8141     600.7512     75.9371     649.0343     124.2202      92.0315     48.2831
0.9940      525.1540     600.7836     75.6295     648.8524     123.6984      91.6525     48.0688
1.0194      525.4616     600.7836     75.3219     649.7589     124.2973      91.6470     48.9753
1.0424      525.7531     600.7674     75.0143     650.0703     124.3172      91.4486     49.3029
1.0704      526.0445     600.7674     74.7229     650.5233     124.4788      91.3082     49.7559
1.1011      526.3359     600.8160     74.4801     651.4744     125.1386      91.3662     50.6585
1.1285      526.6759     600.7998     74.1239     651.9593     125.2834      91.1771     51.1595
1.1526      526.9187     600.7674     73.8487     652.3045     125.3858      91.0277     51.5371
1.1782      527.2101     600.8160     73.6058     652.7922     125.5821      90.9313     51.9762
1.2079      527.5663     600.7512     73.1849     653.1329     125.5666      90.6455     52.3817
1.2353      527.8253     600.8160     72.9906     653.5885     125.7632      90.5815     52.7726
1.2641      528.0358     600.8322     72.7964     654.0725     126.0367      90.5431     53.2403
1.2964      528.2625     600.7674     72.5049     654.4110     126.1485      90.3861     53.6436
1.3189      528.6348     600.7836     72.1488     654.8667     126.2319      90.1765     54.0832
1.3430      528.8453     600.7998     71.9545     655.2279     126.3826      90.0972     54.4282
1.3739      529.0072     600.7512     71.7440     655.5671     126.5599      90.0160     54.8159
1.4025      529.2500     600.7998     71.5497     656.0045     126.7544      89.9513     55.2047
1.4285      529.4767     600.7836     71.3069     656.3628     126.8861      89.8333     55.5792
1.4514      529.8005     600.7674     70.9669     656.6915     126.8910      89.6083     55.9241
1.4777      529.9462     600.7836     70.8374     657.0349     127.0887      89.5878     56.2513
1.5025      530.1081     600.7674     70.6593     657.3622     127.2541      89.5242     56.5948
1.5280      530.3671     600.7674     70.4003     657.7362     127.3690      89.3899     56.9688
1.5529      530.5938     600.7836     70.1898     658.1575     127.5638      89.3145     57.3740
1.5795      530.7557     600.6864     69.9307     658.4178     127.6621      89.1745     57.7314
1.6073      530.9985     600.8160     69.8175     658.9038     127.9053      89.1801     58.0878
1.6329      531.1766     600.7026     69.5260     659.0704     127.8938      88.9819     58.3678
1.6568      531.3223     600.7188     69.3965     659.4140     128.0916      88.9615     58.6951
1.6811      531.5166     600.7998     69.2832     659.7908     128.2742      88.9469     58.9911
1.7103      531.7594     600.7512     68.9918     660.0350     128.2756      88.7530     59.2838
1.7367      531.8728     600.7674     68.8946     660.3766     128.5038      88.7644     59.6092
1.7639      532.0185     600.6864     68.6679     660.5893     128.5708      88.6356     59.9029
1.7896      532.1966     600.7350     68.5384     660.9322     128.7357      88.6042     60.1972
1.8139      532.3908     600.7512     68.3604     661.3055     128.9147      88.5451     60.5543
1.8393      532.5365     600.7188     68.1823     661.6139     129.0774      88.4806     60.8951
1.8671      532.8118     600.7188     67.9070     661.9685     129.1567      88.3236     61.2497
1.8947      532.9251     600.7350     67.8099     662.1997     129.2746      88.2981     61.4647
1.9196      533.0384     600.7674     67.7290     662.4023     129.3639      88.2739     61.6349
1.9450      533.1841     600.7512     67.5671     662.7262     129.5421      88.2254     61.9750
1.9672      533.3622     600.7998     67.4376     662.9929     129.6307      88.1686     62.1931
1.9942      533.4917     600.7026     67.2109     663.1725     129.6808      88.0342     62.4699
2.0181      533.5889     600.7350     67.1461     663.5300     129.9411      88.0778     62.7950
2.0443      533.7993     600.8160     67.0166     663.9499     130.1505      88.0613     63.1339
2.0733      533.9127     600.7674     66.8547     664.1608     130.2481      87.9859     63.3934
2.0989      534.1231     600.7512     66.6281     664.4063     130.2831      87.8464     63.6551
2.1279      534.2041     600.7350     66.5309     664.6184     130.4143      87.8254     63.8834
2.1532      534.3336     600.7512     66.4176     664.8652     130.5316      87.7889     64.1140
2.1794      534.3660     600.7836     66.4176     665.1430     130.7770      87.8707     64.3594
2.2070      534.5926     600.8160     66.2233     665.4042     130.8116      87.7527     64.5882
2.2303      534.6898     600.7350     66.0452     665.5239     130.8341      87.6415     64.7889
2.2517      534.7869     600.7350     65.9481     665.8029     131.0160      87.6374     65.0679
2.2787      534.9812     600.7998     65.8186     666.2200     131.2388      87.6253     65.4202
2.3090      535.0783     600.8322     65.7538     666.4788     131.4005      87.6361     65.6467
2.3393      535.2078     600.7026     65.4948     666.6064     131.3986      87.4627     65.9038
2.3671      535.2240     600.7674     65.5434     666.9299     131.7058      87.5975     66.1625
2.3968      535.3859     600.7350     65.3491     667.0931     131.7072      87.4684     66.3581
2.4239      535.5802     600.7512     65.1710     667.3218     131.7416      87.3612     66.5706
2.4509      535.5964     600.7674     65.1710     667.5506     131.9542      87.4321     66.7832
2.4746      535.6612     600.7188     65.0576     667.7475     132.0864      87.4006     67.0287
2.4987      535.8878     600.7350     64.8472     667.9627     132.0748      87.2564     67.2277
2.5241      535.8878     600.7998     64.9120     668.2716     132.3837      87.4026     67.4718
2.5486      535.9688     600.7836     64.8148     668.5307     132.5619      87.3972     67.7471
2.5772      536.0983     600.7674     64.6691     668.6791     132.5809      87.3064     67.9118
2.6098      536.1954     600.7836     64.5882     668.9648     132.7693      87.3152     68.1812
2.6384      536.3411     600.7188     64.3777     669.1412     132.8001      87.1852     68.4224
2.6697      536.4383     600.7998     64.3615     669.4460     133.0078      87.2436     68.6462
2.6938      536.4868     600.7836     64.2968     669.6125     133.1257      87.2397     68.8289
2.7163      536.6002     600.7512     64.1510     669.8253     133.2252      87.1757     69.0741
2.7373      536.6973     600.7674     64.0701     669.9494     133.2521      87.1308     69.1820
2.7616      536.6973     600.7350     64.0377     670.0840     133.3867      87.1540     69.3490
2.7896      536.7782     600.7836     64.0053     670.4348     133.6566      87.2224     69.6512
2.8203      536.8916     600.7836     63.8920     670.6583     133.7667      87.1836     69.8747
2.8500      536.9240     600.7674     63.8434     670.8815     133.9575      87.2148     70.1141
2.8782      537.0535     600.7350     63.6815     670.9974     133.9439      87.1023     70.2624
2.9091      537.1182     600.7512     63.6330     671.2824     134.1642      87.1434     70.5312
2.9384      537.1668     600.7512     63.5844     671.3531     134.1863      87.1184     70.6019
2.9705      537.3449     600.7512     63.4063     671.6055     134.2606      87.0244     70.8543
3.0004      537.3125     600.7836     63.4711     671.8457     134.5332      87.1585     71.0621
3.0276      537.3935     600.7512     63.3577     671.8699     134.4765      87.0640     71.1188
3.0566      537.4258     600.7350     63.3092     672.1538     134.7280      87.1154     71.4188
3.0842      537.5068     600.7512     63.2444     672.3945     134.8877      87.1255     71.6433
3.1069      537.4906     600.7350     63.2444     672.5451     135.0545      87.1811     71.8101
3.1343      537.6201     600.7836     63.1635     672.7874     135.1673      87.1648     72.0039
3.1631      537.6363     600.7350     63.0987     672.9314     135.2951      87.1642     72.1964
3.1862      537.7334     600.7512     63.0178     673.0985     135.3651      87.1335     72.3474
3.2194      537.7496     600.7188     62.9692     673.2705     135.5209      87.1531     72.5517
3.2519      537.8630     600.7350     62.8720     673.3845     135.5216      87.0886     72.6495
3.2801      537.8791     600.7512     62.8721     673.5322     135.6531      87.1324     72.7810
3.3034      537.9115     600.7674     62.8559     673.7599     135.8483      87.1867     72.9925
3.3360      538.0572     600.7512     62.6940     673.9175     135.8602      87.0827     73.1663
3.3656      538.0410     600.7512     62.7102     674.1391     136.0981      87.1728     73.3879
3.3928      538.1382     600.7350     62.5968     674.3463     136.2081      87.1339     73.6113
3.4180      538.1220     600.7026     62.5806     674.5692     136.4472      87.2028     73.8665
3.4484      538.1382     600.7512     62.6130     674.7164     136.5782      87.2681     73.9652
3.4791      538.2029     600.7512     62.5483     674.8605     136.6575      87.2513     74.1093
3.5092      538.2677     600.7674     62.4997     674.9754     136.7077      87.2357     74.2080
3.5409      538.3001     600.7674     62.4673     675.1185     136.8184      87.2510     74.3511
3.5646      538.3810     600.7026     62.3216     675.1116     136.7306      87.1246     74.4090
3.5863      538.3486     600.6864     62.3378     675.4592     137.1106      87.2620     74.7728
3.6145      538.4296     600.7512     62.3216     675.6543     137.2247      87.2893     74.9031
3.6437      538.4134     600.7998     62.3864     675.8626     137.4492      87.4073     75.0629
3.6705      538.4782     600.7188     62.2406     675.9585     137.4803      87.3205     75.2397
3.6985      538.5267     600.6702     62.1435     675.9640     137.4373      87.2414     75.2938
3.7274      538.5429     600.7350     62.1921     676.2038     137.6609      87.3484     75.4688
3.7540      538.5105     600.7998     62.2892     676.3541     137.8436      87.4740     75.5544
3.7816      538.6239     600.7026     62.0787     676.4024     137.7785      87.3120     75.6998
3.8106      538.6239     600.6540     62.0302     676.4676     137.8437      87.3013     75.8136
3.8401      538.6563     600.6702     62.0140     676.6579     138.0017      87.3432     75.9877
3.8689      538.6886     600.7188     62.0302     676.9265     138.2379      87.4327     76.2077
3.8971      538.6724     600.7026     62.0302     677.0397     138.3672      87.4759     76.3371
3.9287      538.6401     600.7836     62.1435     677.2624     138.6224      87.6365     76.4789
3.9497      538.7210     600.7188     61.9978     677.3174     138.5964      87.5307     76.5986
3.9699      538.6886     600.6864     61.9978     677.4508     138.7622      87.5859     76.7644
3.9995      538.7210     600.7836     62.0626     677.6152     138.8942      87.6731     76.8316
4.0321      538.7858     600.7350     61.9492     677.6618     138.8760      87.5915     76.9268
4.0582      538.7858     600.7512     61.9654     677.8539     139.0681      87.6663     77.1027
4.0873      538.8020     600.7674     61.9654     677.9981     139.1962      87.7090     77.2308
4.1132      538.8505     600.7188     61.8683     678.0346     139.1841      87.6402     77.3158
4.1404      538.8343     600.7674     61.9331     678.1823     139.3480      87.7380     77.4149
4.1627      538.8343     600.6864     61.8521     678.2801     139.4457      87.7166     77.5937
4.1948      538.9153     600.7026     61.7873     678.4215     139.5062      87.6936     77.7189
4.2268      538.9315     600.7188     61.7873     678.5932     139.6617      87.7455     77.8744
4.2542      538.8667     600.7188     61.8521     678.6616     139.7949      87.8330     77.9428
4.2826      538.9477     600.7836     61.8359     678.7939     139.8463      87.8394     78.0103
4.3059      538.8020     600.7026     61.9007     678.8450     140.0431      87.9481     78.1424
4.3318      538.9315     600.7188     61.7873     678.9155     139.9841      87.8529     78.1967
4.3528      538.9153     600.7026     61.7873     678.9728     140.0575      87.8774     78.2702
4.3807      538.9153     600.7350     61.8197     679.2390     140.3237      87.9877     78.5040
4.4120      538.9315     600.7350     61.8035     679.3189     140.3875      87.9982     78.5839
4.4427      538.8667     600.7512     61.8845     679.3552     140.4884      88.0858     78.6040
4.4635      538.9315     600.7188     61.7873     679.4565     140.5250      88.0332     78.7377
4.4948      538.9477     600.7188     61.7711     679.5965     140.6488      88.0637     78.8777
4.5230      538.9639     600.7026     61.7388     679.6776     140.7137      88.0637     78.9750
4.5498      538.9153     600.6864     61.7711     679.6995     140.7842      88.1088     79.0131
4.5782      538.9800     600.6378     61.6578     679.7178     140.7377      88.0178     79.0799
4.6054      538.9639     600.6702     61.7064     679.7878     140.8240      88.0789     79.1176
4.6322      538.9800     600.7188     61.7388     679.9949     141.0148      88.1641     79.2761
4.6569      538.9800     600.7026     61.7226     680.1538     141.1738      88.2063     79.4512
4.6798      538.8991     600.6864     61.7873     680.1336     141.2345      88.2697     79.4472
4.7057      538.9315     600.6378     61.7064     680.2890     141.3576      88.2568     79.6512
4.7379      538.9477     600.6864     61.7387     680.4461     141.4984      88.3253     79.7597
4.7661      538.9800     600.6702     61.6902     680.4664     141.4864      88.2889     79.7962
4.7968      538.9477     600.5892     61.6416     680.3597     141.4120      88.2317     79.7705
4.8236      538.9477     600.6864     61.7387     680.5096     141.5619      88.3465     79.8232
4.8528      538.8829     600.6540     61.7711     680.5428     141.6599      88.4007     79.8887
4.8798      538.8829     600.7350     61.8521     680.7212     141.8383      88.5142     79.9862
4.9066      538.9962     600.6540     61.6578     680.7828     141.7866      88.3674     80.1288
4.9336      538.9477     600.6054     61.6578     680.7866     141.8389      88.3848     80.1811
4.9589      538.9153     600.6378     61.7225     680.8426     141.9273      88.4575     80.2048
