eps1         u           sigma3       sigma3'     sigma1       sigma1'      p           q
[%]         [kPa]        [kPa]        [kPa]       [kPa]        [kPa]        [kPa]       [kPa] 

0.0000      500.9548     599.9465     98.9918     602.0779     101.1231     99.7022      2.1313
0.0279      503.4880     599.9465     96.4586     605.4950     102.0070     98.3080      5.5484
0.0553      508.6223     599.9128     91.2905     610.9581     102.3358     94.9723     11.0453
0.0812      511.3591     599.9128     88.5537     613.4399     102.0808     93.0627     13.5271
0.1085      513.5756     599.9128     86.3371     615.3376     101.7620     91.4788     15.4248
0.1332      515.4529     599.9465     84.4936     616.9389     101.4860     90.1578     16.9923
0.1594      517.1493     599.9128     82.7635     618.2848     101.1356     88.8875     18.3721
0.1865      518.6873     599.9465     81.2593     619.5217     100.8344     87.7843     19.5751
0.2130      520.1009     599.9465     79.8456     620.6144     100.5135     86.7349     20.6679
0.2405      521.4128     599.9465     78.5338     621.5966     100.1839     85.7505     21.6501
0.2679      522.5776     599.9128     77.3352     622.4457      99.8682     84.8462     22.5330
0.2962      523.6746     599.9128     76.2382     623.2402      99.5656     84.0140     23.3274
0.3231      524.6924     599.8790     75.1866     623.9239      99.2316     83.2016     24.0450
0.3503      525.6197     599.9128     74.2931     624.5871      98.9674     82.5178     24.6744
0.3774      526.5018     599.9128     73.4110     625.1942      98.6924     81.8381     25.2815
0.4031      527.3047     599.8790     72.5742     625.6909      98.3861     81.1782     25.8119
0.4321      528.0964     599.8790     71.7826     626.2750      98.1786     80.5813     26.3960
0.4594      528.8654     599.8790     71.0136     626.7715      97.9061     79.9778     26.8926
0.4877      529.6005     599.8452     70.2447     627.2776      97.6771     79.3888     27.4324
0.5157      530.3242     599.8452     69.5209     627.7405      97.4163     78.8194     27.8954
0.5436      531.0480     599.8790     68.8309     628.2589      97.2109     78.2909     28.3800
0.5717      531.6474     599.8790     68.2316     628.6338      96.9864     77.8165     28.7548
0.6001      532.2355     599.8790     67.6435     629.0740      96.8386     77.3752     29.1951
0.6274      532.8348     599.9128     67.0779     629.4934      96.6586     76.9381     29.5807
0.6523      533.3890     599.9128     66.5238     629.8795      96.4905     76.5127     29.9668
0.6792      533.9544     599.8790     65.9245     630.1982      96.2438     76.0310     30.3193
0.7060      534.4407     599.9128     65.4720     630.6172      96.1765     75.7068     30.7044
0.7343      535.0175     599.9128     64.8953     631.0453      96.0278     75.2728     31.1325
0.7630      535.5490     599.9128     64.3638     631.4294      95.8804     74.8693     31.5166
0.7912      536.0918     599.9128     63.8209     631.8134      95.7216     74.4545     31.9007
0.8193      536.5555     599.9128     63.3573     632.1972      95.6417     74.1187     32.2845
0.8476      537.0418     599.9128     62.8710     632.5698      95.5280     73.7567     32.6571
0.8762      537.5507     599.9128     62.3621     632.9640      95.4133     73.3791     33.0512
0.9025      537.9917     599.9128     61.9210     633.3477      95.3560     73.0660     33.4350
0.9276      538.4441     599.8452     61.4011     633.6532      95.2091     72.6704     33.8080
0.9546      538.9530     599.8790     60.9260     634.0919      95.1389     72.3303     34.2130
0.9821      539.4054     599.8790     60.4736     634.4746      95.0693     72.0055     34.5957
1.0092      539.8804     599.8790     59.9986     634.8682      94.9878     71.6617     34.9892
1.0363      540.3666     599.8790     59.5123     635.3050      94.9384     71.3210     35.4260
1.0631      540.8303     599.8790     59.0487     635.6764      94.8461     70.9812     35.7975
1.0908      541.2487     599.8452     58.5964     636.0462      94.7974     70.6634     36.2010
1.1185      541.6559     599.8790     58.2231     636.3853      94.7295     70.3919     36.5064
1.1459      542.0517     599.8790     57.8273     636.7559      94.7043     70.1196     36.8770
1.1730      542.4136     599.8790     57.4654     637.0177      94.6041     69.8450     37.1387
1.1987      542.7641     599.8452     57.0810     637.3329      94.5688     69.5769     37.4878
1.2256      543.1260     599.8452     56.7191     637.6705      94.5445     69.3276     37.8253
1.2552      543.5105     599.8452     56.3346     637.8874      94.3768     69.0154     38.0422
1.2831      543.8498     599.8790     56.0292     638.3014      94.4516     68.8366     38.4224
1.3107      544.2230     599.8790     55.6560     638.5622      94.3392     68.5504     38.6832
1.3412      544.5510     599.8452     55.2942     638.7986      94.2477     68.2787     38.9535
1.3679      544.8111     599.8452     55.0341     638.9943      94.1832     68.0838     39.1491
1.3967      545.1277     599.8452     54.7174     639.2758      94.1481     67.8610     39.4306
1.4226      545.4105     599.8452     54.4347     639.4824      94.0719     67.6471     39.6372
1.4487      545.6706     599.8452     54.1746     639.6887      94.0182     67.4558     39.8436
1.4744      545.9420     599.8452     53.9032     639.9277      93.9857     67.2640     40.0825
1.5026      546.2247     599.8114     53.5867     640.1317      93.9070     67.0268     40.3203
1.5313      546.4622     599.8114     53.3492     640.3691      93.9069     66.8684     40.5577
1.5584      546.6997     599.8452     53.1455     640.6084      93.9087     66.7332     40.7632
1.5866      546.9824     599.8790     52.8966     640.8687      93.8863     66.5598     40.9898
1.6143      547.2312     599.8114     52.5802     640.9736      93.7424     66.3009     41.1623
1.6430      547.4348     599.8114     52.3766     641.1672      93.7325     66.1619     41.3558
1.6684      547.6609     599.8114     52.1504     641.3297      93.6687     65.9899     41.5183
1.6947      547.8645     599.8114     51.9469     641.5241      93.6596     65.8511     41.7127
1.7222      548.0681     599.8114     51.7433     641.7179      93.6498     65.7121     41.9065
1.7489      548.2603     599.7776     51.5173     641.8781      93.6178     65.5508     42.1005
1.7781      548.4865     599.7776     51.2911     642.0277      93.5412     65.3745     42.2501
1.8042      548.6674     599.7776     51.1101     642.2001      93.5327     65.2510     42.4225
1.8309      548.8823     599.7776     50.8953     642.3722      93.4899     65.0935     42.5946
1.8587      549.0520     599.8114     50.7594     642.5667      93.5148     65.0112     42.7554
1.8864      549.2894     599.8114     50.5219     642.7922      93.5027     64.8489     42.9808
1.9143      549.5156     599.8114     50.2958     642.9310      93.4154     64.6690     43.1196
1.9415      549.9680     599.8114     49.8434     643.0270      93.0590     64.2486     43.2156
1.9680      550.1942     599.8114     49.6172     643.2094      93.0153     64.0832     43.3981
1.9951      550.2959     599.7776     49.4816     643.3038      93.0079     63.9904     43.5262
2.0237      550.3751     599.7776     49.4025     643.4636      93.0885     63.9645     43.6861
2.0520      550.4656     599.8114     49.3458     643.6141      93.1486     63.9467     43.8027
2.0793      550.5900     599.8114     49.2214     643.8174      93.2274     63.8901     44.0060
2.1075      550.7370     599.8114     49.0744     643.9232      93.1862     63.7783     44.1118
2.1354      550.8953     599.7776     48.8823     644.0707      93.1754     63.6466     44.2931
2.1631      551.0536     599.7438     48.6902     644.1535      93.0999     63.4934     44.4097
2.1915      551.2120     599.8114     48.5994     644.3158      93.1039     63.4342     44.5045
2.2168      551.3138     599.7776     48.4638     644.4319      93.1182     63.3486     44.6543
2.2425      551.4608     599.7776     48.3168     644.5062      93.0455     63.2264     44.7286
2.2692      551.6078     599.7438     48.1360     644.6215      93.0137     63.0952     44.8777
2.2945      551.7774     599.7776     48.0002     644.8049      93.0275     63.0093     45.0273
2.3237      551.9357     599.7776     47.8418     644.9634      93.0277     62.9038     45.1859
2.3512      552.0488     599.7776     47.7288     645.0689      93.0201     62.8259     45.2913
2.3796      552.1959     599.7776     47.5817     645.2061      93.0103     62.7246     45.4285
2.4065      552.3089     599.7776     47.4686     645.3117      93.0028     62.6467     45.5341
2.4342      552.4333     599.8114     47.3780     645.4077      92.9744     62.5768     45.5963
2.4613      552.5690     599.7776     47.2085     645.4793      92.9103     62.4424     45.7017
2.4887      552.6821     599.7776     47.0954     645.6489      92.9668     62.3859     45.8713
2.5148      552.8065     599.7438     46.9373     645.7101      92.9035     62.2593     45.9663
2.5417      552.9309     599.7776     46.8467     645.8598      92.9289     62.2074     46.0823
2.5691      553.0666     599.7438     46.6772     645.9418      92.8751     62.0765     46.1980
2.5978      553.1797     599.7100     46.5303     645.9694      92.7896     61.9501     46.2594
2.6245      553.3041     599.7438     46.4397     646.1619      92.8578     61.9124     46.4181
2.6527      553.3946     599.7438     46.3492     646.2770      92.8824     61.8603     46.5332
2.6794      553.6321     599.7100     46.0779     646.2947      92.6626     61.6061     46.5847
2.7079      553.7339     599.7438     46.0099     646.4112      92.6773     61.5657     46.6674
2.7344      553.7904     599.6762     45.8858     646.4486      92.6582     61.4766     46.7724
2.7616      553.8922     599.7100     45.8178     646.6191      92.7269     61.4542     46.9091
2.7905      553.9940     599.7100     45.7160     646.7121      92.7181     61.3834     47.0021
2.8189      554.0958     599.7100     45.6142     646.8054      92.7096     61.3127     47.0953
2.8460      554.1636     599.7100     45.5464     646.9205      92.7569     61.2832     47.2105
2.8733      554.2767     599.7438     45.4671     647.1013      92.8246     61.2529     47.3575
2.9035      554.3446     599.7100     45.3654     647.0955      92.7510     61.1606     47.3855
2.9322      554.4803     599.7100     45.2297     647.2631      92.7828     61.0808     47.5531
2.9599      554.5594     599.7100     45.1506     647.3029      92.7434     61.0149     47.5929
2.9869      554.6386     599.6762     45.0376     647.3840      92.7454     60.9402     47.7078
3.0126      554.7178     599.7100     44.9922     647.4905      92.7727     60.9191     47.7805
3.0385      554.7969     599.7100     44.9131     647.5311      92.7341     60.8534     47.8211
3.0654      554.8987     599.7100     44.8113     647.6778      92.7791     60.8006     47.9678
3.0924      555.0005     599.6762     44.6757     647.7586      92.7581     60.7032     48.0824
3.1195      555.0683     599.6762     44.6079     647.8837      92.8154     60.6770     48.2075
3.1480      555.1814     599.7100     44.5286     647.9779      92.7965     60.6179     48.2679
3.1774      555.2493     599.6762     44.4269     648.0467      92.7974     60.5504     48.3705
3.2055      555.3284     599.6424     44.3140     648.0947      92.7662     60.4647     48.4523
3.2314      555.3963     599.6762     44.2799     648.1687      92.7724     60.4441     48.4925
3.2565      555.4981     599.6424     44.1443     648.2820      92.7839     60.3575     48.6396
3.2843      555.5207     599.6762     44.1555     648.3764      92.8557     60.3889     48.7001
3.3120      555.6225     599.6762     44.0537     648.4581      92.8357     60.3144     48.7819
3.3387      555.6790     599.6424     43.9634     648.5066      92.8276     60.2515     48.8642
3.3657      555.7582     599.6762     43.9180     648.6331      92.8749     60.2370     48.9569
3.3932      555.8147     599.6762     43.8615     648.7361      92.9213     60.2148     49.0599
3.4223      555.9165     599.6424     43.7259     648.8150      92.8985     60.1168     49.1726
3.4517      555.9957     599.6424     43.6467     648.8850      92.8894     60.0610     49.2426
3.4790      556.0296     599.6424     43.6128     648.9985      92.9689     60.0649     49.3561
3.5063      556.0975     599.6762     43.5788     649.0714      92.9740     60.0438     49.3952
3.5329      556.1879     599.6762     43.4883     649.1003      92.9124     59.9630     49.4241
3.5596      556.2332     599.6424     43.4093     649.1377      92.9046     59.9077     49.4953
3.5847      556.2558     599.6424     43.3866     649.2840      93.0282     59.9338     49.6415
3.6130      556.3689     599.6424     43.2735     649.3648      92.9960     59.8477     49.7224
3.6416      556.4254     599.6424     43.2170     649.4561      93.0307     59.8216     49.8137
3.6695      556.4593     599.6424     43.1831     649.5583      93.0989     59.8217     49.9159
3.6984      556.5498     599.6424     43.0926     649.6281      93.0782     59.7545     49.9856
3.7256      556.5951     599.6424     43.0474     649.7517      93.1566     59.7505     50.1093
3.7525      556.6516     599.6424     42.9908     649.7694      93.1178     59.6998     50.1270
3.7792      556.6742     599.6424     42.9682     649.8508      93.1766     59.7043     50.2084
3.8056      556.7081     599.6424     42.9343     649.9111      93.2030     59.6905     50.2687
3.8319      556.8099     599.6086     42.7987     649.9377      93.1277     59.5751     50.3290
3.8584      556.8891     599.6424     42.7533     650.0951      93.2060     59.5709     50.4527
3.8886      556.9343     599.6424     42.7081     650.1639      93.2296     59.5486     50.5215
3.9173      556.9909     599.6086     42.6178     650.2841      93.2933     59.5096     50.6755
3.9460      556.9909     599.6424     42.6516     650.3662      93.3753     59.5595     50.7238
3.9752      557.0700     599.6424     42.5724     650.4459      93.3759     59.5069     50.8035
4.0027      557.0926     599.6424     42.5498     650.5053      93.4126     59.5040     50.8628
4.0310      557.1492     599.6424     42.4932     650.5642      93.4150     59.4671     50.9217
4.0586      557.1944     599.6086     42.4142     650.6002      93.4058     59.4114     50.9916
4.0859      557.2510     599.5748     42.3239     650.5624      93.3115     59.3197     50.9876
4.1126      557.3075     599.6086     42.3011     650.7192      93.4117     59.3380     51.1106
4.1404      557.3528     599.6086     42.2559     650.7571      93.4044     59.3054     51.1485
4.1687      557.3754     599.6086     42.2333     650.9002      93.5248     59.3304     51.2916
4.1966      557.4432     599.6086     42.1654     650.9485      93.5053     59.2787     51.3399
4.2250      557.4772     599.6086     42.1315     650.9860      93.5088     59.2573     51.3774
4.2525      557.5224     599.6086     42.0862     651.0450      93.5226     59.2317     51.4363
4.2814      557.5563     599.6086     42.0523     651.1453      93.5889     59.2312     51.5366
4.3090      557.5902     599.5748     41.9846     651.1388      93.5485     59.1726     51.5639
4.3363      557.6242     599.5748     41.9507     651.2082      93.5841     59.1618     51.6334
4.3624      557.6355     599.5748     41.9394     651.3204      93.6849     59.1879     51.7456
4.3895      557.7033     599.5748     41.8715     651.3478      93.6445     59.1292     51.7730
4.4173      557.7599     599.5410     41.7812     651.4462      93.6864     59.0829     51.9052
4.4454      557.8164     599.5410     41.7246     651.5151      93.6987     59.0493     51.9740
4.4741      557.8504     599.5410     41.6907     651.6046      93.7542     59.0452     52.0635
4.5031      557.8956     599.5748     41.6792     651.6436      93.7480     59.0355     52.0688
4.5318      557.9182     599.5410     41.6228     651.7097      93.7915     59.0124     52.1686
4.5582      557.9521     599.5410     41.5889     651.7058      93.7537     58.9772     52.1648
4.5857      557.9748     599.5748     41.6001     651.8400      93.8653     59.0218     52.2652
4.6132      557.9974     599.5748     41.5775     651.8984      93.9010     59.0187     52.3236
4.6399      558.0426     599.5748     41.5322     651.9047      93.8621     58.9755     52.3299
4.6673      558.0878     599.5410     41.4532     652.0238      93.9359     58.9474     52.4827
4.6952      558.0992     599.5410     41.4419     652.0399      93.9407     58.9415     52.4988
4.7247      558.1670     599.5748     41.4078     652.1412      93.9742     58.9300     52.5664
4.7545      558.1783     599.5410     41.3627     652.1854      94.0070     58.9108     52.6443
4.7812      558.2122     599.5748     41.3626     652.2987      94.0864     58.9372     52.7238
4.8079      558.2122     599.5410     41.3288     652.2920      94.0797     58.9124     52.7509
4.8365      558.2349     599.5748     41.3400     652.3832      94.1484     58.9428     52.8084
4.8642      558.3027     599.5748     41.2721     652.4725      94.1698     58.9047     52.8977
4.8905      558.3366     599.5073     41.1706     652.4322      94.0955     58.8123     52.9249
4.9179      558.3932     599.5073     41.1141     652.4902      94.0970     58.7750     52.9829
4.9444      558.4497     599.5748     41.1251     652.6580      94.2083     58.8195     53.0832
4.9727      558.4837     599.5073     41.0236     652.6060      94.1223     58.7232     53.0988
5.0007      558.4950     599.5073     41.0123     652.6740      94.1791     58.7345     53.1668
5.0302      558.5515     599.5410     40.9895     652.8167      94.2652     58.7481     53.2756
5.0573      558.5854     599.5410     40.9556     652.8537      94.2682     58.7265     53.3126
5.0857      558.5967     599.5410     40.9443     652.9004      94.3037     58.7308     53.3594
