eps1         u           sigma3       sigma3'      sigma1       sigma1'      p           q
[%]         [kPa]        [kPa]        [kPa]        [kPa]        [kPa]        [kPa]       [kPa] 

0.0000      501.1810     699.7681     198.5872     702.3588     201.1778     199.4507      2.5907
0.0179      501.2262     699.7343     198.5081     702.3691     201.1429     199.3864      2.6347
0.0361      505.4558     699.7681     194.3124     707.5761     202.1204     196.9150      7.8080
0.0560      512.8292     699.7681     186.9389     715.8843     203.0551     192.3110     16.1162
0.0855      517.1266     699.7343     182.6077     719.6602     202.5336     189.2496     19.9259
0.1123      520.8586     699.7343     178.8757     722.9569     202.0983     186.6166     23.2226
0.1393      524.1608     699.7343     175.5735     725.7404     201.5796     184.2422     26.0061
0.1655      527.1012     699.7005     172.5994     728.1556     201.0544     182.0844     28.4550
0.1894      529.6909     699.7005     170.0096     730.2373     200.5464     180.1885     30.5368
0.2124      532.0885     699.6667     167.5783     732.1068     200.0184     178.3917     32.4401
0.2392      534.3389     699.7343     165.3954     733.9312     199.5923     176.7943     34.1969
0.2615      536.4311     699.7005     163.2694     735.4995     199.0684     175.2024     35.7989
0.2866      538.5007     699.7005     161.1999     737.0997     198.5991     173.6663     37.3992
0.3107      540.6154     699.7005     159.0851     738.6996     198.0841     172.0848     38.9990
0.3391      542.5493     699.7005     157.1513     740.1305     197.5812     170.6279     40.4300
0.3647      544.3700     699.7005     155.3305     741.4287     197.0587     169.2399     41.7282
0.3923      546.0890     699.7005     153.6115     742.6256     196.5366     167.9199     42.9251
0.4197      547.7062     699.6667     151.9606     743.6773     195.9711     166.6307     44.0105
0.4459      549.1650     699.6667     150.5017     744.6851     195.5201     165.5078     45.0184
0.4679      550.6465     699.6667     149.0202     745.6722     195.0257     164.3554     46.0055
0.4902      552.0149     699.6667     147.6518     746.6477     194.6328     163.3121     46.9809
0.5196      553.3607     699.6667     146.3061     747.5971     194.2364     162.2828     47.9303
0.5475      554.7743     699.6667     144.8924     748.6242     193.8499     161.2116     48.9575
0.5757      556.1653     699.5992     143.4338     749.5608     193.3955     160.0877     49.9617
0.6019      557.4885     699.6329     142.1445     750.4665     192.9781     159.0890     50.8336
0.6307      558.7777     699.5992     140.8215     751.3581     192.5804     158.0745     51.7590
0.6626      560.0217     699.5654     139.5437     752.1590     192.1374     157.0749     52.5937
0.6888      561.2204     699.5992     138.3787     753.0633     191.8428     156.2001     53.4641
0.7121      562.3853     699.5654     137.1801     753.8568     191.4716     155.2773     54.2915
0.7368      563.4935     699.5654     136.0718     754.7382     191.2447     154.4628     55.1729
0.7624      564.5905     699.5992     135.0086     755.5531     190.9626     153.6600     55.9540
0.7887      565.7327     699.5992     133.8664     756.4769     190.7441     152.8257     56.8777
0.8176      567.0898     699.5992     132.5094     757.8292     190.7394     151.9194     58.2300
0.8448      568.4582     699.5654     131.1072     758.9934     190.5352     150.9165     59.4281
0.8736      569.7587     699.5654     129.8066     760.1898     190.4311     150.0148     60.6244
0.8992      570.9688     699.5654     128.5966     761.1669     190.1981     149.1304     61.6015
0.9237      572.1223     699.5316     127.4093     762.1214     189.9991     148.2725     62.5898
0.9515      573.2080     699.5316     126.3236     762.9306     189.7227     147.4566     63.3991
0.9797      574.2258     699.4978     125.2720     763.7164     189.4906     146.6782     64.2186
1.0043      575.1418     699.5316     124.3898     764.4174     189.2756     146.0184     64.8859
1.0290      576.0918     699.4978     123.4060     765.0725     188.9807     145.2642     65.5747
1.0605      577.0757     699.4978     122.4221     765.8995     188.8239     144.5560     66.4017
1.0898      577.9691     699.4978     121.5287     766.5735     188.6044     143.8873     67.0757
1.1159      578.9303     699.4978     120.5675     767.2821     188.3518     143.1622     67.7843
1.1427      579.7220     699.4978     119.7758     767.8689     188.1470     142.5662     68.3712
1.1730      580.6154     699.4640     118.8486     768.5072     187.8918     141.8630     69.0432
1.1990      581.3618     699.4640     118.1022     768.9839     187.6221     141.2755     69.5199
1.2241      582.0855     699.4640     117.3784     769.5159     187.4304     140.7291     70.0519
1.2476      582.8206     699.4978     116.6772     770.0606     187.2400     140.1981     70.5629
1.2729      583.5444     699.4640     115.9196     770.4923     186.9479     139.5957     71.0283
1.2977      584.2569     699.4978     115.2409     771.0685     186.8117     139.0978     71.5708
1.3255      584.9580     699.4640     114.5060     771.5747     186.6167     138.5429     72.1107
1.3580      585.6479     699.4640     113.8161     772.0560     186.4081     138.0134     72.5920
1.3900      586.3264     699.4640     113.1376     772.5373     186.2109     137.4954     73.0733
1.4182      586.9823     699.4640     112.4817     773.0212     186.0388     137.0007     73.5572
1.4501      587.6269     699.4302     111.8032     773.4352     185.8082     136.4716     74.0050
1.4786      588.2037     699.3964     111.1927     773.7419     185.5382     135.9745     74.3455
1.5041      588.7352     699.3964     110.6612     774.0625     185.3273     135.5499     74.6661
1.5295      589.2781     699.4302     110.1521     774.5264     185.2484     135.1842     75.0962
1.5571      589.8435     699.3626     109.5191     774.7994     184.9559     134.6647     75.4368
1.5793      590.3524     699.3964     109.0440     775.2105     184.8581     134.3153     75.8141
1.6086      590.9405     699.3964     108.4559     775.6808     184.7403     133.8840     76.2844
1.6395      591.4833     699.3964     107.9131     775.9414     184.4581     133.4281     76.5450
1.6735      592.0148     699.3626     107.3478     776.3846     184.3698     133.0218     77.0220
1.7069      592.5577     699.3626     106.8049     776.7304     184.1728     132.5942     77.3678
1.7403      593.0213     699.3626     106.3413     777.0870     184.0656     132.2494     77.7243
1.7660      593.4172     699.3288     105.9117     777.3061     183.8890     131.9041     77.9773
1.7907      593.9148     699.3288     105.4141     777.6144     183.6997     131.5093     78.2856
1.8167      594.3671     699.3288     104.9617     777.8997     183.5326     131.1520     78.5709
1.8410      594.8421     699.3288     104.4867     778.2408     183.3987     130.7907     78.9120
1.8734      595.3058     699.3964     104.0906     778.6647     183.3589     130.5134     79.2683
1.8993      595.7129     699.3288     103.6159     778.8709     183.1580     130.1300     79.5421
1.9275      596.1313     699.3288     103.1975     779.1864     183.0551     129.8167     79.8576
1.9574      596.5611     699.3288     102.7678     779.4895     182.9284     129.4880     80.1607
1.9834      596.9908     699.3288     102.3380     779.7737     182.7829     129.1530     80.4449
2.0100      597.3753     699.2950     101.9197     780.0017     182.6264     128.8219     80.7067
2.0365      597.8277     699.2950     101.4674     780.2742     182.4465     128.4604     80.9792
2.0582      598.1896     699.2612     101.0717     780.4732     182.2837     128.1424     81.2120
2.0839      598.5062     699.2950     100.7888     780.7363     182.2301     127.9359     81.4413
2.1138      598.8907     699.2612     100.3705     781.0046     182.1138     127.6183     81.7433
2.1431      599.2526     699.2612     100.0086     781.2960     182.0434     127.3536     82.0348
2.1707      599.6258     699.2274      99.6016     781.4786     181.8528     127.0187     82.2512
2.1971      599.9651     699.2274      99.2624     781.7395     181.7744     126.7664     82.5120
2.2292      600.3270     699.2274      98.9005     782.0606     181.7336     126.5115     82.8331
2.2547      600.6549     699.2274      98.5725     782.2674     181.6125     126.2525     83.0400
2.2826      600.9490     699.1937      98.2447     782.3840     181.4350     125.9748     83.1903
2.3104      601.2769     699.2274      97.9505     782.6551     181.3782     125.7597     83.4276
2.3394      601.6388     699.1937      97.5549     782.8682     181.2294     125.4464     83.6746
2.3656      601.9328     699.1937      97.2608     783.0957     181.1629     125.2282     83.9021
2.3944      602.2721     699.1937      96.9215     783.3425     181.0704     124.9712     84.1489
2.4202      602.5888     699.1937      96.6049     783.5701     180.9814     124.7304     84.3765
2.4474      602.8941     699.1937      96.2996     783.8181     180.9240     124.5077     84.6244
2.4750      603.1881     699.1599      95.9717     784.0208     180.8327     124.2587     84.8610
2.5018      603.4595     699.1599      95.7003     784.2146     180.7550     124.0519     85.0547
2.5298      603.7423     699.1261      95.3838     784.3299     180.5876     123.7851     85.2039
2.5570      604.0024     699.1261      95.1237     784.5014     180.4990     123.5821     85.3753
2.5815      604.2286     699.1261      94.8975     784.7510     180.5224     123.4391     85.6249
2.6093      604.4887     699.1599      94.6712     784.9879     180.4993     123.2806     85.8281
2.6345      604.7827     699.1261      94.3434     785.1596     180.3769     123.0212     86.0335
2.6629      605.0767     699.0923      94.0155     785.3715     180.2948     122.7753     86.2792
2.6907      605.3029     699.1261      93.8232     785.5648     180.2619     122.6361     86.4387
2.7188      605.5856     699.0923      93.5066     785.7443     180.1587     122.3906     86.6520
2.7453      605.8457     699.0923      93.2465     785.9155     180.0697     122.1876     86.8232
2.7736      606.1059     699.0923      92.9864     786.1392     180.0333     122.0021     87.0469
2.8003      606.3207     699.1261      92.8053     786.3004     179.9797     121.8635     87.1744
2.8259      606.5582     699.0923      92.5341     786.4709     179.9127     121.6603     87.3786
2.8508      606.8070     699.0585      92.2515     786.6201     179.8131     121.4387     87.5616
2.8784      607.0332     699.0923      92.0591     786.8236     179.7904     121.3029     87.7313
2.9036      607.2594     699.0585      91.7991     787.0049     179.7455     121.1146     87.9464
2.9306      607.5082     699.0247      91.5165     787.1627     179.6545     120.8959     88.1380
2.9596      607.6891     699.0585      91.3694     787.3429     179.6538     120.7975     88.2844
2.9885      607.9153     699.0247      91.1094     787.5096     179.5943     120.6044     88.4850
3.0136      608.1528     699.0585      90.9057     787.7148     179.5620     120.4578     88.6563
3.0406      608.3337     699.0247      90.6910     787.8830     179.5493     120.3104     88.8583
3.0711      608.5486     699.0247      90.4761     788.0061     179.4575     120.1366     88.9814
3.0997      608.7974     699.0247      90.2273     788.1631     179.3657     119.9401     89.1384
3.1228      609.0010     698.9909      89.9899     788.3130     179.3120     119.7640     89.3221
3.1471      609.1819     699.0247      89.8428     788.4645     179.2826     119.6561     89.4398
3.1756      609.3742     699.0247      89.6505     788.6538     179.2796     119.5269     89.6291
3.2089      609.5438     699.0247      89.4809     788.8383     179.2946     119.4188     89.8137
3.2355      609.7700     698.9909      89.2209     788.9522     179.1822     119.2080     89.9613
3.2633      609.9509     698.9909      89.0400     789.1632     179.2123     119.0974     90.1723
3.2860      610.1319     698.9909      88.8590     789.3036     179.1717     118.9633     90.3127
3.3153      610.2676     698.9571      88.6895     789.3608     179.0933     118.8241     90.4037
3.3416      610.4824     698.9571      88.4747     789.4868     179.0044     118.6512     90.5297
3.3690      610.6408     698.9909      88.3501     789.6885     179.0478     118.5827     90.6976
3.3997      610.7991     698.9571      88.1580     789.7872     178.9881     118.4347     90.8301
3.4261      610.9913     698.9571      87.9658     789.9451     178.9538     118.2951     90.9880
3.4477      611.1723     698.8895      87.7172     790.0399     178.8676     118.1007     91.1503
3.4782      611.2628     698.8895      87.6268     790.2044     178.9417     118.0651     91.3149
3.5116      611.4437     698.9233      87.4796     790.3677     178.9240     117.9611     91.4444
3.5398      611.6360     698.8895      87.2536     790.5327     178.8967     117.8013     91.6431
3.5652      611.7490     698.9233      87.1743     790.6927     178.9436     117.7640     91.7693
3.5883      611.8961     698.9233      87.0273     790.7995     178.9034     117.6526     91.8761
3.6243      612.0883     698.9571      86.8688     790.9920     178.9037     117.5471     92.0349
3.6534      612.2353     698.9571      86.7218     791.1573     178.9219     117.4552     92.2002
3.6777      612.3597     698.9233      86.5636     791.2289     178.8691     117.3321     92.3055
3.7051      612.5181     698.8895      86.3715     791.3403     178.8222     117.1884     92.4508
3.7304      612.6877     698.8895      86.2018     791.4767     178.7890     117.0642     92.5872
3.7597      612.8008     698.8557      86.0549     791.5647     178.7639     116.9579     92.7090
3.7873      612.9817     698.8895      85.9078     791.7861     178.8044     116.8733     92.8966
3.8133      613.1853     698.9233      85.7380     791.9768     178.7915     116.7559     93.0535
3.8411      613.3097     698.9233      85.6136     792.0355     178.7258     116.6510     93.1122
3.8662      613.4567     698.9233      85.4666     792.1717     178.7150     116.5494     93.2484
3.8938      613.5811     698.8895      85.3084     792.2823     178.7012     116.4393     93.3927
3.9227      613.7394     698.8557      85.1163     792.4022     178.6628     116.2985     93.5465
3.9490      613.8186     698.8557      85.0371     792.4942     178.6756     116.2499     93.6384
3.9727      613.9995     698.8557      84.8562     792.6634     178.6639     116.1254     93.8077
4.0001      614.1239     698.8557      84.7318     792.8397     178.7158     116.0598     93.9840
4.0280      614.2370     698.8557      84.6187     792.9513     178.7143     115.9839     94.0956
4.0591      614.3727     698.8219      84.4492     793.0365     178.6638     115.8541     94.2146
4.0885      614.4858     698.8219      84.3361     793.1571     178.6712     115.7812     94.3351
4.1188      614.5989     698.8219      84.2230     793.2447     178.6457     115.6973     94.4227
4.1448      614.7233     698.8895      84.1662     793.4254     178.7021     115.6782     94.5358
4.1720      614.8138     698.8219      84.0082     793.4483     178.6345     115.5503     94.6263
4.1994      614.9495     698.8557      83.9062     793.5830     178.6335     115.4820     94.7272
4.2256      615.0626     698.8557      83.7931     793.7277     178.6651     115.4171     94.8719
4.2486      615.2322     698.8219      83.5897     793.8735     178.6413     115.2736     95.0516
4.2746      615.3001     698.8557      83.5557     794.0094     178.7093     115.2735     95.1536
4.3010      615.4245     698.8219      83.3975     794.1198     178.6953     115.1634     95.2979
4.3278      615.5376     698.8219      83.2844     794.2635     178.7259     115.0982     95.4416
4.3560      615.6733     698.7881      83.1149     794.3612     178.6880     114.9726     95.5731
4.3852      615.7411     698.7881      83.0470     794.4278     178.6867     114.9269     95.6396
4.4110      615.8655     698.7544      82.8888     794.5172     178.6517     114.8098     95.7628
4.4407      615.9673     698.7544      82.7871     794.5832     178.6159     114.7300     95.8288
4.4677      616.1030     698.7544      82.6513     794.7369     178.6339     114.6455     95.9825
4.4955      616.2161     698.7881      82.5720     794.9022     178.6861     114.6101     96.1140
4.5188      616.3066     698.7544      82.4478     795.0044     178.6978     114.5311     96.2500
4.5437      616.4084     698.7206      82.3122     795.1154     178.7071     114.4438     96.3949
4.5680      616.5554     698.7881      82.2328     795.2965     178.7412     114.4022     96.5084
4.5969      616.6572     698.7881      82.1310     795.4054     178.7483     114.3368     96.6173
4.6288      616.7024     698.7206      82.0182     795.4010     178.6986     114.2450     96.6805
4.6515      616.7702     698.7206      81.9503     795.5372     178.7670     114.2225     96.8167
4.6760      616.9060     698.7544      81.8484     795.6204     178.7145     114.1371     96.8660
4.7030      616.9625     698.7206      81.7581     795.7077     178.7452     114.0871     96.9871
4.7324      617.0530     698.7544      81.7014     795.8599     178.8070     114.0699     97.1056
4.7557      617.2113     698.7206      81.5093     796.0356     178.8243     113.9476     97.3151
4.7806      617.3470     698.7544      81.4074     796.1499     178.8029     113.8725     97.3956
4.8095      617.4035     698.7206      81.3170     796.2244     178.8208     113.8183     97.5038
4.8379      617.5053     698.6868      81.1814     796.3415     178.8362     113.7330     97.6547
4.8684      617.5732     698.6868      81.1136     796.4161     178.8429     113.6900     97.7293
4.8938      617.6523     698.6530      81.0006     796.5045     178.8521     113.6178     97.8515
4.9199      617.7089     698.6530      80.9441     796.5305     178.8216     113.5699     97.8775
4.9463      617.7994     698.6530      80.8536     796.6832     178.8838     113.5304     98.0302
4.9737      617.8785     698.6868      80.8082     796.7945     178.9160     113.5108     98.1077
4.9976      618.0029     698.6530      80.6501     796.8840     178.8811     113.3937     98.2311
