eps1         u           sigma3       sigma3'      sigma1        sigma1'      p             q
[%]         [kPa]        [kPa]        [kPa]        [kPa]         [kPa]        [kPa]         [kPa] 

0.0000      501.2714     899.8505     398.5791      901.5588     400.2874     399.1485       1.7083
0.0100      502.4476     899.8505     397.4030      902.7838     400.3362     398.3807       2.9332
0.0335      505.3653     899.9181     394.5528      906.4701     401.1048     396.7368       6.5519
0.0562      516.3576     899.8505     383.4929      919.5734     403.2158     390.0672      19.7229
0.0829      526.3887     899.8505     373.4618      930.0679     403.6792     383.5343      30.2174
0.1090      532.4843     899.8168     367.3325      935.1425     402.6582     379.1077      35.3257
0.1349      537.8673     899.8505     361.9832      939.6757     401.8084     375.2583      39.8252
0.1591      542.5945     899.8505     357.2560      943.5013     400.9068     371.8063      43.6508
0.1801      546.9598     899.8505     352.8908      946.9409     399.9812     368.5876      47.0904
0.2051      551.0876     899.8505     348.7630      950.1457     399.0582     365.5280      50.2952
0.2299      554.9552     899.8505     344.8953      953.0847     398.1295     362.6400      53.2342
0.2556      558.8229     899.8168     340.9938      955.9659     397.1430     359.7102      56.1492
0.2821      562.6228     899.8505     337.2278      958.8577     396.2349     356.8968      59.0071
0.3161      566.3660     899.8505     333.4845      961.6105     395.2444     354.0712      61.7599
0.3489      569.9171     899.8168     329.8997      964.1963     394.2792     351.3595      64.3795
0.3757      573.3889     899.8168     326.4278      966.7083     393.3194     348.7250      66.8915
0.4032      576.5441     899.8168     323.2726      968.9215     392.3774     346.3076      69.1048
0.4266      579.5749     899.7830     320.2080      971.0258     391.4509     343.9557      71.2429
0.4505      582.4474     899.8168     317.3693      973.0314     390.5840     341.7742      73.2147
0.4756      585.2408     899.8168     314.5760      975.0015     389.7607     339.6376      75.1847
0.5070      587.9436     899.7830     311.8394      976.9208     388.9772     337.5520      77.1378
0.5350      590.6578     899.8168     309.1590      978.8543     388.1965     335.5048      79.0375
0.5619      593.3041     899.7830     306.4789      980.6650     387.3610     333.4396      80.8821
0.5880      595.8712     899.7830     303.9118      982.3996     386.5284     331.4506      82.6166
0.6149      598.4270     899.8168     301.3897      984.2101     385.7831     329.5208      84.3934
0.6408      601.0055     899.7830     298.7775      985.9750     384.9695     327.5081      86.1920
0.6686      603.4935     899.7830     296.2895      987.7162     384.2227     325.6006      87.9332
0.6953      605.8797     899.7492     293.8695      989.3797     383.5000     323.7463      89.6306
0.7184      608.2659     899.7830     291.5171      991.1461     382.8802     321.9715      91.3631
0.7443      610.6634     899.7830     289.1196      992.9739     382.3105     320.1832      93.1909
0.7721      613.1174     899.7492     286.6317      994.7979     381.6805     318.3147      95.0488
0.7973      615.5376     899.7492     284.2116      996.7339     381.1963     316.5398      96.9847
0.8260      617.8672     899.7154     281.8482      998.4784     380.6112     314.7692      98.7630
0.8553      620.3439     899.7492     279.4053     1000.5186     380.1747     312.9951     100.7694
0.8830      622.7866     899.7492     276.9625     1002.5363     379.7497     311.2249     102.7871
0.9074      625.1615     899.7154     274.5539     1004.4898     379.3283     309.4787     104.7745
0.9331      627.3555     899.7154     272.3599     1006.1796     378.8241     307.8480     106.4642
0.9649      629.4363     899.7154     270.2791     1007.8398     378.4035     306.3205     108.1244
0.9912      631.4493     899.7154     268.2661     1009.3849     377.9355     304.8226     109.6695
1.0169      633.3945     899.6816     266.2871     1010.8195     377.4251     303.3331     111.1379
1.0419      635.3622     899.6816     264.3193     1012.3098     376.9475     301.8621     112.6282
1.0722      637.2622     899.6816     262.4194     1013.7931     376.5310     300.4566     114.1115
1.1043      639.1508     899.6816     260.5308     1015.2408     376.0901     299.0506     115.5592
1.1306      640.9602     899.6816     258.7214     1016.4979     375.5377     297.6602     116.8163
1.1558      642.6565     899.6816     257.0250     1017.7446     375.0881     296.3794     118.0630
1.1842      644.2398     899.6478     255.4080     1018.7895     374.5497     295.1219     119.1417
1.2108      645.8570     899.6816     253.8246     1019.9145     374.0575     293.9022     120.2329
1.2381      647.3950     899.6478     252.2528     1020.9485     373.5534     292.6863     121.3007
1.2674      648.8878     899.6478     250.7600     1022.0132     373.1254     291.5485     122.3655
1.2943      650.3354     899.6478     249.3124     1023.0367     372.7014     290.4421     123.3889
1.3215      651.7942     899.6478     247.8536     1024.0267     372.2325     289.3132     124.3789
1.3471      653.2418     899.6478     246.4060     1025.0071     371.7653     288.1925     125.3593
1.3715      654.5875     899.6816     245.0940     1025.9788     371.3913     287.1931     126.2972
1.4002      655.9446     899.6478     243.7032     1026.8335     370.8889     286.0984     127.1857
1.4290      657.2565     899.6140     242.3575     1027.6764     370.4200     285.0450     128.0624
1.4566      658.5005     899.6478     241.1473     1028.5337     370.0333     284.1093     128.8859
1.4825      659.7331     899.6140     239.8809     1029.2817     369.5486     283.1034     129.6677
1.5143      660.8753     899.6140     238.7387     1030.0117     369.1363     282.2046     130.3977
1.5412      662.0062     899.6140     237.6078     1030.7259     368.7197     281.3117     131.1119
1.5663      663.1824     899.6140     236.4316     1031.4858     368.3034     280.3889     131.8718
1.5913      664.3359     899.5802     235.2443     1032.2549     367.9190     279.4692     132.6747
1.6208      665.4442     899.5802     234.1360     1032.9427     367.4985     278.5902     133.3625
1.6473      666.5638     899.5802     233.0164     1033.7102     367.1464     277.7264     134.1299
1.6738      667.5929     899.5802     231.9873     1034.3469     366.7540     276.9096     134.7667
1.6978      668.6446     899.5464     230.9018     1034.9964     366.3518     276.0518     135.4500
1.7237      669.6398     899.5802     229.9404     1035.6672     366.0273     275.3027     136.0869
1.7487      670.6237     899.5464     228.9227     1036.2386     365.6149     274.4868     136.6922
1.7722      671.5510     899.5802     228.0292     1036.8143     365.2632     273.7739     137.2341
1.8026      672.4784     899.5464     227.0680     1037.3776     364.8993     273.0118     137.8312
1.8344      673.4849     899.5464     226.0615     1038.0373     364.5524     272.2252     138.4909
1.8626      674.4235     899.5464     225.1229     1038.7125     364.2889     271.5116     139.1661
1.8942      675.3735     899.5802     224.2067     1039.3729     363.9994     270.8043     139.7927
1.9233      676.3234     899.5802     223.2568     1039.9269     363.6035     270.0390     140.3467
1.9534      677.2395     899.5464     222.3070     1040.4452     363.2058     269.2732     140.8988
1.9795      678.0198     899.5464     221.5266     1040.9055     362.8857     268.6463     141.3590
2.0066      678.8340     899.5802     220.7462     1041.4518     362.6177     268.0367     141.8716
2.0331      679.6709     899.5464     219.8755     1041.9527     362.2818     267.3443     142.4063
2.0565      680.3721     899.5464     219.1744     1042.3296     361.9576     266.7688     142.7832
2.0838      681.2089     899.5126     218.3037     1042.8828     361.6739     266.0938     143.3702
2.1144      681.9892     899.5126     217.5234     1043.4108     361.4215     265.4894     143.8982
2.1453      682.8261     899.5126     216.6865     1043.9917     361.1656     264.8462     144.4791
2.1803      683.5612     899.5126     215.9514     1044.4260     360.8648     264.2559     144.9133
2.2122      684.3754     899.5126     215.1372     1044.9185     360.5431     263.6058     145.4059
2.2385      685.0879     899.5126     214.4247     1045.3974     360.3095     263.0530     145.8848
2.2650      685.8117     899.4788     213.6671     1045.7880     359.9763     262.4369     146.3091
2.2904      686.5015     899.4788     212.9773     1046.2028     359.7013     261.8853     146.7240
2.3159      687.1688     899.4788     212.3101     1046.5959     359.4272     261.3491     147.1171
2.3456      687.8699     899.4788     211.6089     1047.0471     359.1771     260.7983     147.5682
2.3725      688.6163     899.4788     210.8625     1047.5128     358.8965     260.2072     148.0340
2.4007      689.2609     899.4788     210.2179     1048.0195     358.7586     259.7315     148.5407
2.4300      689.9621     899.4450     209.4830     1048.3935     358.4314     259.1324     148.9485
2.4563      690.6293     899.4450     208.8157     1048.7948     358.1655     258.5990     149.3498
2.4828      691.3079     899.4450     208.1372     1049.1525     357.8446     258.0397     149.7075
2.5091      691.9072     899.5126     207.6054     1049.6532     357.7460     257.6523     150.1406
2.5312      692.4953     899.4788     206.9835     1049.9620     357.4667     257.1446     150.4832
2.5575      693.0494     899.4450     206.3956     1050.3394     357.2899     256.6937     150.8943
2.5876      693.5923     899.4450     205.8528     1050.6798     357.0875     256.2644     151.2348
2.6150      694.2708     899.4450     205.1742     1051.0888     356.8180     255.7222     151.6438
2.6442      694.8815     899.4450     204.5635     1051.5483     356.6668     255.2646     152.1033
2.6697      695.4243     899.4788     204.0545     1051.9614     356.5370     254.8820     152.4825
2.7002      696.0124     899.4113     203.3988     1052.2755     356.2631     254.3536     152.8643
2.7276      696.4987     899.4113     202.9126     1052.5761     356.0774     253.9675     153.1649
2.7535      697.1094     899.4113     202.3019     1052.9862     355.8769     253.4935     153.5750
2.7853      697.6296     899.4450     201.8155     1053.3454     355.7158     253.1156     153.9003
2.8127      698.1159     899.4113     201.2954     1053.6330     355.5171     252.7026     154.2218
2.8426      698.5909     899.4113     200.8204     1053.9180     355.3271     252.3226     154.5068
2.8680      699.1224     899.4113     200.2889     1054.2206     355.0982     251.8920     154.8094
2.8962      699.6878     899.4113     199.7234     1054.6580     354.9702     251.4723     155.2467
2.9215      700.1854     899.3437     199.1582     1054.9037     354.7183     251.0116     155.5600
2.9480      700.6943     899.4113     198.7169     1055.3037     354.6094     250.6811     155.8925
2.9743      701.1919     899.4113     198.2193     1055.6470     354.4551     250.2979     156.2358
3.0012      701.6895     899.4113     197.7217     1055.9891     354.2996     249.9144     156.5779
3.0280      702.1419     899.4113     197.2694     1056.3206     354.1787     249.5725     156.9094
3.0570      702.6056     899.3775     196.7719     1056.5608     353.9553     249.1664     157.1834
3.0833      703.0579     899.3775     196.3195     1056.8498     353.7919     248.8103     157.4724
3.1094      703.5442     899.3775     195.8333     1057.1390     353.5948     248.4204     157.7615
3.1357      703.9739     899.3775     195.4035     1057.4918     353.5178     248.1083     158.1143
3.1618      704.3698     899.3775     195.0077     1057.7913     353.4215     247.8123     158.4138
3.1911      704.8900     899.3775     194.4875     1058.1494     353.2595     247.4115     158.7720
3.2195      705.2858     899.3437     194.0579     1058.3575     353.0717     247.0625     159.0138
3.2467      705.7721     899.3437     193.5716     1058.6973     352.9253     246.6895     159.3537
3.2761      706.1905     899.3099     193.1194     1058.9139     352.7234     246.3207     159.6041
3.3012      706.6316     899.3437     192.7121     1059.2480     352.6164     246.0136     159.9043
3.3268      707.0500     899.3099     192.2599     1059.4812     352.4312     245.6503     160.1713
3.3531      707.4458     899.3099     191.8641     1059.7150     352.2692     245.3325     160.4051
3.3809      707.8303     899.3099     191.4796     1059.8715     352.0412     245.0001     160.5617
3.4055      708.2827     899.3099     191.0272     1060.0439     351.7612     244.6052     160.7340
3.4327      708.7463     899.3099     190.5635     1060.4038     351.6574     244.2615     161.0939
3.4622      709.1535     899.2761     190.1226     1060.6085     351.4551     243.9001     161.3324
3.4912      709.5832     899.2761     189.6929     1060.9009     351.3176     243.5678     161.6248
3.5171      709.9790     899.2761     189.2971     1061.1557     351.1767     243.2569     161.8796
3.5442      710.3975     899.2761     188.8786     1061.4828     351.0854     242.9475     162.2067
3.5754      710.8159     899.2761     188.4602     1061.7284     350.9125     242.6110     162.4523
3.6064      711.1325     899.2761     188.1435     1061.9103     350.7778     242.3550     162.6342
3.6310      711.5170     899.2761     187.7590     1062.1241     350.6071     242.0417     162.8480
3.6539      711.8563     899.2761     187.4198     1062.3513     350.4949     241.7782     163.0752
3.6821      712.1617     899.2085     187.0468     1062.5443     350.3826     241.4921     163.3358
3.7154      712.5575     899.2423     186.6848     1062.8723     350.3148     241.2282     163.6300
3.7415      712.9081     899.2085     186.3004     1063.1023     350.1943     240.9317     163.8938
3.7689      713.2586     899.2423     185.9837     1063.4188     350.1602     240.7092     164.1765
3.7931      713.6092     899.2423     185.6331     1063.7068     350.0976     240.4546     164.4645
3.8204      713.9372     899.2761     185.3389     1063.9486     350.0114     240.2297     164.6725
3.8495      714.2086     899.2423     185.0337     1064.1091     349.9006     239.9893     164.8668
3.8771      714.5705     899.2761     184.7056     1064.3609     349.7904     239.7339     165.0848
3.9087      714.9437     899.2423     184.2986     1064.5486     349.6049     239.4007     165.3063
3.9371      715.2716     899.2761     184.0045     1064.7986     349.5270     239.1786     165.5225
3.9674      715.6109     899.2761     183.6652     1065.0644     349.4535     238.9279     165.7883
3.9969      715.9615     899.2085     183.2470     1065.2532     349.2917     238.5952     166.0447
4.0266      716.2894     899.2085     182.9191     1065.4455     349.1560     238.3314     166.2370
4.0529      716.6400     899.1747     182.5347     1065.7368     349.0968     238.0554     166.5621
4.0820      716.9341     899.2085     182.2744     1065.9425     349.0085     237.8524     166.7340
4.1032      717.1715     899.2423     182.0707     1066.2041     349.0325     237.7247     166.9618
4.1335      717.4317     899.2085     181.7768     1066.3185     348.8869     237.4802     167.1100
4.1674      717.6804     899.2085     181.5281     1066.4815     348.8011     237.2857     167.2730
4.1929      718.0310     899.2085     181.1775     1066.6909     348.6599     237.0049     167.4824
4.2192      718.3251     899.1747     180.8496     1066.9072     348.5821     236.7605     167.7324
4.2453      718.6304     899.2085     180.5781     1067.2546     348.6242     236.5935     168.0461
4.2758      718.9131     899.2423     180.3292     1067.4673     348.5541     236.4042     168.2250
4.3047      719.2298     899.2423     180.0125     1067.7757     348.5459     236.1903     168.5334
4.3299      719.4560     899.1747     179.7187     1067.8643     348.4084     235.9486     168.6896
4.3603      719.8179     899.2085     179.3906     1068.1402     348.3224     235.7012     168.9317
4.3859      720.0440     899.2423     179.1983     1068.3187     348.2746     235.5571     169.0764
4.4110      720.2815     899.2423     178.9608     1068.5593     348.2778     235.3998     169.3170
4.4415      720.5416     899.2423     178.7007     1068.6740     348.1323     235.1779     169.4317
4.4695      720.8017     899.1747     178.3730     1068.8204     348.0186     234.9215     169.6457
4.4945      721.0505     899.1747     178.1242     1069.0711     348.0206     234.7563     169.8964
4.5204      721.2428     899.1747     177.9319     1069.2780     348.0352     234.6330     170.1033
4.5516      721.5934     899.1409     177.5476     1069.4837     347.8903     234.3285     170.3428
4.5802      721.7969     899.1747     177.3778     1069.6665     347.8696     234.2084     170.4918
4.6108      722.0683     899.1409     177.0726     1069.9045     347.8362     233.9938     170.7636
4.6407      722.3171     899.1409     176.8238     1070.0720     347.7549     233.8008     170.9311
4.6695      722.5320     899.1071     176.5751     1070.1865     347.6545     233.6016     171.0794
4.6946      722.7582     899.0733     176.3151     1070.3182     347.5600     233.3968     171.2448
4.7245      722.9504     899.0733     176.1229     1070.4642     347.5138     233.2532     171.3909
4.7533      723.2445     899.1071     175.8626     1070.7510     347.5066     233.0773     171.6439
4.7775      723.4254     899.1071     175.6817     1070.8756     347.4502     232.9379     171.7685
4.8025      723.6742     899.0733     175.3991     1071.0909     347.4167     232.7383     172.0176
4.8297      723.9569     899.0733     175.1164     1071.3045     347.3476     232.5268     172.2312
4.8575      724.1831     899.0395     174.8564     1071.4935     347.3104     232.3411     172.4539
4.8836      724.3867     899.0733     174.6866     1071.7110     347.3243     232.2325     172.6376
4.9149      724.5563     899.0395     174.4832     1071.8406     347.2843     232.0836     172.8011
4.9393      724.8051     899.0057     174.2006     1071.9514     347.1462     231.8492     172.9456
