eps1         u           sigma3       sigma3'      sigma1       sigma1'      p             q
[%]         [kPa]        [kPa]        [kPa]        [kPa]        [kPa]        [kPa]         [kPa] 

0.0000      500.4228     700.3215     199.8987     700.5738     200.1510     199.9828       0.2523
0.0249      503.5474     700.3215     196.7741     708.8819     205.3345     199.6275       8.5604
0.0490      509.1491     700.2567     191.1076     712.8040     203.6549     195.2901      12.5473
0.0739      513.5041     700.2891     186.7850     720.9055     207.4014     193.6571      20.6164
0.1009      517.9239     700.4025     182.4786     725.6556     207.7317     190.8963      25.2532
0.1229      521.4209     700.2891     178.8682     728.6829     207.2620     188.3328      28.3938
0.1465      524.2541     700.3053     176.0512     731.3115     207.0574     186.3866      31.0062
0.1756      526.9254     700.3377     173.4123     733.8472     206.9219     184.5822      33.5095
0.2003      529.4348     700.2891     170.8543     736.1602     206.7254     182.8114      35.8711
0.2216      531.7661     700.2243     168.4582     738.2915     206.5254     181.1473      38.0672
0.2443      534.0974     700.2405     166.1431     740.3239     206.2265     179.5042      40.0834
0.2777      536.2830     700.2567     163.9737     742.2082     205.9252     177.9575      41.9515
0.3071      538.3229     700.3215     161.9986     743.8181     205.4952     176.4975      43.4966
0.3335      540.1362     700.3377     160.2015     745.3889     205.2528     175.2186      45.0512
0.3574      541.7713     700.2567     158.4854     746.4118     204.6405     173.8704      46.1551
0.3850      543.3741     700.2567     156.8826     747.8154     204.4413     172.7355      47.5587
0.4080      544.8312     700.3863     155.5551     749.2653     204.4341     171.8481      48.8790
0.4312      546.2559     700.3701     154.1142     750.3678     204.1120     170.7801      49.9977
0.4576      547.6806     700.2567     152.5762     751.1368     203.4562     169.5362      50.8801
0.4858      548.9919     700.2891     151.2972     752.2940     203.3020     168.6321      52.0049
0.5118      550.3680     700.2081     149.8401     753.1473     202.7793     167.4865      52.9392
0.5400      551.6308     700.2567     148.6259     754.1269     202.4961     166.5826      53.8702
0.5680      552.8127     700.2891     147.4764     755.0200     202.2073     165.7200      54.7309
0.5962      553.9460     700.2891     146.3431     755.9987     202.0527     164.9130      55.7096
0.6189      555.0792     700.3053     145.2260     756.6892     201.6100     164.0207      56.3839
0.6408      556.0506     700.2567     144.2061     757.5107     201.4600     163.2907      57.2540
0.6676      557.1030     700.3053     143.2023     758.2500     201.1470     162.5172      57.9447
0.6958      558.1391     700.2891     142.1500     758.9801     200.8410     161.7137      58.6910
0.7205      559.1429     700.2891     141.1462     759.6469     200.5041     160.9322      59.3578
0.7523      560.0657     700.2567     140.1910     760.3173     200.2517     160.2112      60.0606
0.7799      561.0856     700.2567     139.1711     760.9817     199.8960     159.4127      60.7250
0.8083      561.9113     700.2567     138.3454     761.5560     199.6447     158.7785      61.2992
0.8324      562.7532     700.2243     137.4712     762.0759     199.3228     158.0884      61.8516
0.8602      563.6112     700.2567     136.6455     762.6418     199.0306     157.4405      62.3851
0.8851      564.5340     700.2567     135.7227     763.2012     198.6672     156.7042      62.9445
0.9084      565.2626     700.2243     134.9617     763.7127     198.4502     156.1246      63.4884
0.9347      566.0397     700.2567     134.2170     764.3354     198.2957     155.5766      64.0787
0.9621      566.8330     700.2891     133.4561     764.8680     198.0350     154.9824      64.5789
0.9909      567.6263     700.2729     132.6466     765.4397     197.8135     154.3689      65.1668
1.0198      568.4034     700.2567     131.8533     766.0031     197.5997     153.7688      65.7464
1.0484      569.1967     700.2243     131.0277     766.4368     197.2401     153.0985      66.2125
1.0729      569.9414     700.2405     130.2991     766.9135     196.9722     152.5235      66.6730
1.0976      570.6375     700.2405     129.6030     767.4141     196.7766     151.9942      67.1736
1.1221      571.3661     700.2081     128.8420     767.8337     196.4676     151.3839      67.6256
1.1447      572.0784     700.1757     128.0973     768.2705     196.1921     150.7956      68.0948
1.1703      572.7260     700.2243     127.4983     768.8345     196.1085     150.3684      68.6102
1.1981      573.4707     700.2243     126.7536     769.3239     195.8531     149.7867      69.0995
1.2248      574.0860     700.2405     126.1546     769.8460     195.7600     149.3564      69.6054
1.2510      574.8145     700.2405     125.4260     770.3278     195.5133     148.7885      70.0873
1.2778      575.4945     700.1757     124.6813     770.7361     195.2417     148.2014      70.5604
1.3051      576.1259     700.2405     124.1147     771.1845     195.0587     147.7627      70.9440
1.3296      576.7087     700.2405     123.5318     771.6023     194.8936     147.3191      71.3618
1.3601      577.3401     700.2567     122.9166     772.0156     194.6755     146.8363      71.7589
1.3859      577.8905     700.1919     122.3014     772.2947     194.4042     146.3357      72.1028
1.4075      578.5219     700.2243     121.7024     772.8027     194.2808     145.8952      72.5784
1.4349      579.0238     700.2081     121.1843     773.1530     194.1292     145.4993      72.9449
1.4652      579.6552     700.2081     120.5529     773.5653     193.9101     145.0053      73.3572
1.4957      580.2380     700.1919     119.9539     773.8887     193.6506     144.5195      73.6967
1.5220      580.7561     700.1919     119.4358     774.2471     193.4910     144.1209      74.0552
1.5507      581.2904     700.1433     118.8530     774.4988     193.2084     143.6381      74.3555
1.5789      581.8246     700.2243     118.3997     774.9445     193.1199     143.3064      74.7202
1.6052      582.3589     700.1271     117.7683     775.1650     192.8061     142.7809      75.0379
1.6347      582.8284     700.2243     117.3959     775.5210     192.6926     142.4948      75.2967
1.6617      583.3141     700.1919     116.8778     775.7974     192.4834     142.0797      75.6055
1.6860      583.7836     700.1271     116.3436     776.1237     192.3401     141.6757      75.9966
1.7107      584.2369     700.1433     115.9064     776.4822     192.2453     141.3527      76.3389
1.7385      584.7712     700.1919     115.4208     776.8063     192.0351     140.9589      76.6144
1.7673      585.2407     700.1595     114.9189     777.1126     191.8720     140.5699      76.9531
1.7964      585.6940     700.2081     114.5142     777.4594     191.7655     140.2646      77.2513
1.8215      586.0987     700.1919     114.0932     777.6882     191.5895     139.9253      77.4963
1.8472      586.5682     700.1757     113.6075     777.9485     191.3803     139.5318      77.7727
1.8748      586.8920     700.1757     113.2837     778.2072     191.3152     139.2942      78.0315
1.9016      587.3615     700.1433     112.7818     778.4101     191.0486     138.8707      78.2667
1.9232      587.7339     700.0948     112.3609     778.6087     190.8749     138.5322      78.5140
1.9479      588.1386     700.1433     112.0047     778.9100     190.7713     138.2603      78.7666
1.9728      588.5757     700.2081     111.6324     779.2431     190.6674     137.9774      79.0350
2.0008      588.9481     700.1919     111.2438     779.4926     190.5445     137.6774      79.3007
2.0267      589.3043     700.1757     110.8715     779.7836     190.4794     137.4074      79.6079
2.0512      589.7252     700.1757     110.4505     779.9798     190.2546     137.0519      79.8041
2.0809      590.0166     700.1595     110.1429     780.1875     190.1709     136.8189      80.0280
2.1081      590.3728     700.2081     109.8353     780.4698     190.0971     136.5892      80.2617
2.1365      590.7613     700.1919     109.4306     780.6942     189.9329     136.2647      80.5023
2.1604      591.1175     700.1433     109.0258     780.8419     189.7244     135.9253      80.6985
2.1832      591.3927     700.1433     108.7506     781.0469     189.6541     135.7184      80.9035
2.2096      591.8299     700.1595     108.3297     781.3209     189.4911     135.3835      81.1614
2.2390      592.0889     700.1433     108.0544     781.5838     189.4949     135.2013      81.4405
2.2675      592.5098     700.1919     107.6821     781.8403     189.3305     134.8982      81.6484
2.2932      592.8660     700.1919     107.3259     782.0663     189.2003     134.6174      81.8744
2.3189      593.0927     700.1433     107.0507     782.2117     189.1190     134.4068      82.0684
2.3438      593.4165     700.1433     106.7269     782.3823     188.9658     134.1399      82.2389
2.3706      593.8536     700.1595     106.3060     782.5754     188.7218     133.7779      82.4158
2.3951      594.0640     700.1271     106.0631     782.7696     188.7055     133.6106      82.6424
2.4202      594.3393     700.1271     105.7879     782.9556     188.6163     133.3974      82.8285
2.4488      594.6631     700.0786     105.4155     783.0979     188.4349     133.0886      83.0194
2.4746      594.9545     700.1433     105.1889     783.4357     188.4812     132.9530      83.2923
2.5047      595.3268     700.1757     104.8489     783.6415     188.3147     132.6708      83.4658
2.5325      595.6506     700.1433     104.4927     783.8243     188.1736     132.3863      83.6809
2.5595      595.9097     700.1271     104.2175     783.9999     188.0902     132.1751      83.8727
2.5879      596.1849     700.1757     103.9908     784.2071     188.0222     132.0013      84.0313
2.6113      596.4763     700.1919     103.7156     784.3861     187.9098     131.7803      84.1941
2.6346      596.7192     700.1433     103.4242     784.5163     187.7971     131.5485      84.3730
2.6613      597.0429     700.2081     103.1652     784.7249     187.6820     131.3374      84.5168
2.6902      597.2372     700.1271     102.8899     784.7700     187.5327     131.1042      84.6428
2.7199      597.4963     700.2243     102.7281     785.1195     187.6233     131.0265      84.8952
2.7473      597.7715     700.1595     102.3880     785.2216     187.4501     130.7421      85.0620
2.7761      598.0953     700.1757     102.0805     785.4191     187.3238     130.4949      85.2434
2.8043      598.3219     700.1595     101.8376     785.5688     187.2468     130.3073      85.4092
2.8309      598.5486     700.1109     101.5624     785.6715     187.1229     130.0825      85.5606
2.8562      598.8076     700.1433     101.3357     785.8801     187.0724     129.9146      85.7367
2.8822      599.0505     700.1271     101.0767     785.9759     186.9254     129.6929      85.8487
2.9073      599.2771     700.0624     100.7852     786.1031     186.8260     129.4655      86.0408
2.9284      599.5038     700.0948     100.5910     786.2595     186.7557     129.3126      86.1648
2.9575      599.7142     700.0948     100.3805     786.4161     186.7019     129.1543      86.3214
2.9876      599.9571     700.0624     100.1053     786.5869     186.6298     128.9468      86.5245
3.0166      600.1676     700.0786      99.9110     786.7990     186.6315     128.8178      86.7205
3.0476      600.4428     700.0948      99.6520     786.9381     186.4953     128.5997      86.8433
3.0731      600.6694     700.0624      99.3929     787.0650     186.3956     128.3938      87.0026
3.0980      600.8637     700.0786      99.2148     787.2330     186.3693     128.2663      87.1545
3.1212      601.1228     700.0948      98.9720     787.3313     186.2085     128.0508      87.2365
3.1453      601.3170     700.1109      98.7939     787.5395     186.2224     127.9368      87.4285
3.1731      601.4951     700.1109      98.6158     787.6489     186.1537     127.7951      87.5379
3.2018      601.7703     700.0462      98.2758     787.7085     185.9381     127.4966      87.6623
3.2314      601.8999     700.1595      98.2597     787.9610     186.0612     127.5268      87.8015
3.2609      602.1427     700.0948      97.9520     788.0987     185.9560     127.2867      88.0040
3.2916      602.3694     700.0948      97.7254     788.2525     185.8832     127.1113      88.1578
3.3173      602.5636     700.0462      97.4825     788.3543     185.7907     126.9186      88.3081
3.3487      602.7093     700.0138      97.3044     788.4039     185.6945     126.7678      88.3901
3.3790      602.8874     700.0462      97.1587     788.5586     185.6711     126.6629      88.5124
3.4093      603.0817     700.0462      96.9645     788.6965     185.6148     126.5146      88.6504
3.4346      603.2922     700.0948      96.8026     788.8324     185.5402     126.3818      88.7376
3.4622      603.4864     700.0300      96.5435     788.8921     185.4057     126.1642      88.8621
3.4861      603.6483     700.0300      96.3816     789.0042     185.3559     126.0397      88.9742
3.5124      603.7941     700.0462      96.2521     789.2169     185.4228     125.9757      89.1707
3.5427      604.0369     700.0462      96.0093     789.3859     185.3490     125.7892      89.3397
3.5660      604.2474     700.0138      95.7664     789.4975     185.2501     125.5943      89.4837
3.5971      604.4255     700.0300      95.6045     789.6108     185.1854     125.4648      89.5808
3.6274      604.6359     700.0462      95.4102     789.7564     185.1204     125.3136      89.7102
3.6591      604.7816     700.0300      95.2483     789.9074     185.1258     125.2075      89.8774
3.6847      604.9111     700.0624      95.1512     790.0183     185.1072     125.1365      89.9559
3.7150      605.1216     700.0624      94.9408     790.1001     184.9785     124.9533      90.0378
3.7401      605.2511     700.0300      94.7788     790.1544     184.9033     124.8203      90.1244
3.7662      605.4778     700.0624      94.5846     790.3432     184.8654     124.6782      90.2808
3.7949      605.6721     699.9976      94.3255     790.3852     184.7131     124.4547      90.3876
3.8218      605.8016     700.0138      94.2122     790.5725     184.7709     124.3984      90.5587
3.8515      605.9797     700.1271      94.1475     790.8150     184.8354     124.3768      90.6879
3.8847      606.1092     700.0786      93.9694     790.8844     184.7752     124.2380      90.8058
3.9117      606.2549     700.0300      93.7751     790.9438     184.6889     124.0797      90.9138
3.9416      606.4654     700.0786      93.6132     791.0661     184.6008     123.9424      90.9876
3.9653      606.6111     700.0462      93.4351     791.1526     184.5415     123.8039      91.1064
3.9908      606.7730     699.9814      93.2084     791.1577     184.3848     123.6005      91.1763
4.0163      606.8863     700.0300      93.1437     791.3154     184.4291     123.5722      91.2854
4.0441      607.0806     700.0138      92.9332     791.4452     184.3647     123.4104      91.4315
4.0736      607.1939     700.0300      92.8361     791.6450     184.4511     123.3744      91.6150
4.1016      607.3720     700.0462      92.6742     791.7598     184.3878     123.2454      91.7137
4.1253      607.5986     700.0138      92.4151     791.8458     184.2472     123.0258      91.8320
4.1553      607.6796     700.0138      92.3342     791.8953     184.2157     122.9614      91.8815
4.1900      607.8739     700.0300      92.1561     792.0662     184.1923     122.8348      92.0362
4.2182      608.0034     700.0138      92.0104     792.1090     184.1056     122.7088      92.0952
4.2458      608.0843     700.0462      91.9618     792.1774     184.0931     122.6723      92.1312
4.2728      608.1977     700.0624      91.8647     792.3241     184.1264     122.6186      92.2617
4.2967      608.4081     699.9652      91.5571     792.3369     183.9287     122.3476      92.3717
4.3276      608.5700     699.8842      91.3142     792.4528     183.8827     122.1704      92.5685
4.3494      608.7157     699.9328      91.2171     792.6209     183.9052     122.1131      92.6881
4.3747      608.7643     699.9166      91.1523     792.7287     183.9644     122.0897      92.8121
4.4023      608.8938     699.8842      90.9904     792.7789     183.8851     121.9553      92.8946
4.4382      609.0071     699.9328      90.9257     792.8941     183.8869     121.9128      92.9613
4.4637      609.1367     699.8356      90.6990     792.8970     183.7603     121.7194      93.0613
4.4928      609.3147     699.9814      90.6666     793.0925     183.7777     121.7037      93.1111
4.5146      609.5576     699.9814      90.4238     793.2429     183.6853     121.5110      93.2615
4.5443      609.6385     700.0138      90.3752     793.3165     183.6780     121.4761      93.3027
4.5710      609.8004     699.9976      90.1971     793.4301     183.6297     121.3413      93.4325
4.6011      609.8814     700.0300      90.1486     793.6591     183.7777     121.3583      93.6291
4.6262      610.0271     700.0462      90.0191     793.7052     183.6781     121.2387      93.6590
4.6509      610.1404     699.9976      89.8572     793.7882     183.6478     121.1207      93.7906
4.6858      610.2537     700.0138      89.7600     793.8635     183.6098     121.0433      93.8498
4.7109      610.3833     699.9976      89.6143     793.9472     183.5639     120.9309      93.9496
4.7360      610.4966     699.9976      89.5010     793.9614     183.4648     120.8222      93.9638
4.7601      610.5937     699.9652      89.3715     794.0764     183.4827     120.7419      94.1112
4.7869      610.7232     699.9652      89.2419     794.1511     183.4279     120.6373      94.1859
4.8209      610.8042     699.9976      89.1934     794.2821     183.4779     120.6215      94.2845
4.8506      610.9985     699.9490      88.9505     794.3984     183.4000     120.4337      94.4495
4.8809      611.0632     699.9814      88.9182     794.5096     183.4464     120.4276      94.5282
4.9029      611.2413     699.9652      88.7239     794.5648     183.3235     120.2571      94.5996
4.9257      611.2899     699.9814      88.6915     794.6981     183.4082     120.2637      94.7167
4.9579      611.4194     699.9328      88.5134     794.7650     183.3456     120.1241      94.8322
4.9902      611.5327     699.9814      88.4487     794.8124     183.2796     120.0590      94.8310
